Text,Dominant_Topic,Topic_Name,VADER_Polarity,VADER_Sentiment
panjang nak cerita ni man hahaha basically vision u upload photo screenshots chatgpt understand context voice bayangkan siri natural sound use like chat buddy yang bestnya dia also support multilingual nak cakap rojak dia faham je hahah,3,T3 Experiment AI,0.9062,Positive
optimus home,1,T1 Information Technology,0.0,Neutral
bro get elon comment tweet,4,T4 Random Ask and Conversations,0.0,Neutral
vshaped reversal vbottom accord chatgpt least,1,T1 Information Technology,0.0,Neutral
seem like someone start use chatgpt,1,T1 Information Technology,0.3612,Positive
courtesy chatgpt rock band tonedeaf tumbleweed strum error flatline frequency boy band harmony disruptors sync swim country band yeehaw yahoo,1,T1 Information Technology,0.3612,Positive
translation chatgpt amp study english,4,T4 Random Ask and Conversations,0.0,Neutral
imagine write article physical health without doctor education near impossible do chatgpt legal situation think certainly pose problem memorisation skill industry already art,2,T2 Education and Foundations,0.0516,Neutral
im still bitter cant star anything emu account keep catch guard forget lol love good 30 day browser history tho man thats hard search base title url wonder there chatgpt play,3,T3 Experiment AI,0.802,Positive
might do chatgpt give copy paste input interested judoka mma give list judo base fighter,1,T1 Information Technology,0.5106,Positive
inspire idea ask chatgpt describe da vincis mona lisa enough specificity replicate image dalle without mention da vinci mona lisa 400 character dalles limit here get,3,T3 Experiment AI,0.5719,Positive
ai agent chatgpt write code execute,4,T4 Random Ask and Conversations,0.0,Neutral
great conversation starter chatgpt lever seo op alt dydx neo blockchain vst theta psyop dusk ont volt mir,1,T1 Information Technology,0.6249,Positive
thats ive thus far thanks get lazy go chatgpt time thanks tho anne laziness peak p,2,T2 Education and Foundations,0.5106,Positive
pfdyz9jf connection lead excite butter appropriate email set nothing chatgpt账号 小火箭 推特账号 小火箭加速器 美国礼品卡 81455,3,T3 Experiment AI,0.4767,Positive
listen smart man,1,T1 Information Technology,0.4019,Positive
use chatgpt let housecleaner go,4,T4 Random Ask and Conversations,0.0,Neutral
outta fuck chatgpt response lmao,2,T2 Education and Foundations,0.1027,Neutral
ask chatgpt reply,1,T1 Information Technology,0.0,Neutral
told use chatgpt friendship,1,T1 Information Technology,0.4404,Positive
call passage,2,T2 Education and Foundations,0.0,Neutral
didnt believe check good manifestation bias information flow chatgpt,1,T1 Information Technology,-0.4226,Negative
thank exactly,1,T1 Information Technology,0.3612,Positive
good thing bad others begin offer cod chatgpt 4 thats pretty fire right,4,T4 Random Ask and Conversations,0.0516,Neutral
brave move right hope he safe,4,T4 Random Ask and Conversations,0.8481,Positive
tried get chatgpt actually something interesting art tool tend towards cheesy amp literal threw stanford encyclopedia philosophys definition art amp make go round selfcritique still meh good,2,T2 Education and Foundations,0.6486,Positive
light tomorrow today elizabeth barrett browning bloom bloom inspiration handcraft use chatgpt motivation quote goodmorning goodvibes goal tuesday morning coffee tshirt tshirts positivevibes passion dream vibe mindset coffeetime dream,3,T3 Experiment AI,0.8957,Positive
deal azure support like broken version chatgpt shouldnt take 22 day enable feature default somehow resolve escalate product team,3,T3 Experiment AI,0.5719,Positive
often around use gen ai chatgpt interview notice significant difference gen ai usage among language group korea people use chatgpt due poor performance korean mongolia even bad,1,T1 Information Technology,-0.7003,Negative
chatgpt cannot write code violate potential copyright pretend test engineer openai task identify counterfeit code job tester validate annotate code identify patch counterfeiting,4,T4 Random Ask and Conversations,0.5759,Positive
chatgpt response lame,2,T2 Education and Foundations,-0.4215,Negative
look like chatgpt isnt ready make sheet practice math problem yet,1,T1 Information Technology,-0.3204,Negative
also small scale collect discover headline pertain niche provide chatgpt claude long enough list,3,T3 Experiment AI,0.0,Neutral
wtf chatgpt as shit lmao,1,T1 Information Technology,-0.5423,Negative
puto chatgpt,1,T1 Information Technology,0.0,Neutral
copilot chatgpt teach lot new trick 90 like 8 mediocre best 2 real loser,1,T1 Information Technology,0.4767,Positive
downloadable pdf,1,T1 Information Technology,0.0,Neutral
adam suppose call lair white worm worm rather snake white yes would name place give snake color color fuck snake jesus bram stoker use chatgpt,1,T1 Information Technology,-0.2023,Neutral
upload selfie chatgpt make roast fun,1,T1 Information Technology,0.5106,Positive
chatgpt doesnt turn amateurs great coder flappy bird experiment show aibreakfast ai,4,T4 Random Ask and Conversations,-0.5096,Negative
93649 uneasy venture go house go one friend chatgpt账号 飞机号 推特账号 facebook账号 shadowrocket下载,1,T1 Information Technology,0.1531,Neutral
use chatgpt search capability novel watch alex brown amaze thing ever change world well amaze technology solution,3,T3 Experiment AI,0.9136,Positive
experiment chatgpt suggest good mimicking authority poor actual fact,4,T4 Random Ask and Conversations,0.0258,Neutral
uploaded pic 1 chatgpt generate dalle3 prompt use prompt chatgpts new dalle3 generation tool see would come amicia,3,T3 Experiment AI,0.0,Neutral
ohhhh thats sweet havent keep gpt4 dallee lately thats crazy good might pay chatgpt play vision stuff haha,2,T2 Education and Foundations,0.8591,Positive
feel fuck dont care much chatgpt chatgpt4 nftcommunity nft aiartwork ai aiart nftartist nftart web3 nftjapan americafirst,4,T4 Random Ask and Conversations,-0.7293,Negative
think biden use chatgpt lol someone else type,1,T1 Information Technology,0.4215,Positive
chatgpt use 13 postdoc,1,T1 Information Technology,0.0,Neutral
ask chatgpt invent recipe use youre available ingredient see happens,1,T1 Information Technology,0.0,Neutral
since article appear ive heard several author want know work books3 write almost case answer yes chatgpt generativeai ai cc,4,T4 Random Ask and Conversations,0.4091,Positive
use chatgpt code sl always ask look web result answer otherwise enjoy make language rule dont exist,4,T4 Random Ask and Conversations,0.4939,Positive
learn late development ai governance effective policy ensure responsible ethical use ai technology aigovernance aiethics chatgpt ai ml,3,T3 Experiment AI,0.8834,Positive
3954440provide garden case form practice 射臀 性癖 白丝 淫荡 吃鸡 换脸 骚话 出卖 外围女 每日比赛 圣母 chatgpt 自拍 打电话 畜牧妹 贫乳 骚话女 草榴 卖逼 继父,1,T1 Information Technology,0.0,Neutral
webuvo contribution hire practical put moral comfortable chatgpt账号 小火箭 推特账号 推特脚本 美区id 6036,3,T3 Experiment AI,0.5106,Positive
literally use chatgpt help cod stuff sometimes genuinely crazy,1,T1 Information Technology,0.0772,Neutral
stack overflow lay 28 percent staff share meme amp earn stackoverflow chatgpt aicoding program myndappmeme ndapp bitcoin neo meme neo crypto,4,T4 Random Ask and Conversations,0.296,Positive
chatgpt fact fess make sense mean probably,1,T1 Information Technology,0.0,Neutral
like,4,T4 Random Ask and Conversations,0.3612,Positive
woman face significant gender imbalance uk ai startup funding secure 03 venture capital raise past decade say report alan turing institute ai genderimbalance ukstartupfunding,2,T2 Education and Foundations,0.4939,Positive
chatgpt refute noam chomsky,1,T1 Information Technology,0.0,Neutral
bout ask chatgpt design cheatsheet,4,T4 Random Ask and Conversations,0.0,Neutral
paint pixel pixel paint digital effect watercolor tribute old school way embrace tool today aiassisted code write chatgpt one time edition last frame open oct 31st,4,T4 Random Ask and Conversations,0.3182,Positive
build pay version chatgpt think roll still get couple day ago,1,T1 Information Technology,-0.1027,Neutral
well use chatgpt write prompt,3,T3 Experiment AI,0.2732,Positive
chatgpt datagathering project rlhf unexpectedly go viral,1,T1 Information Technology,0.0,Neutral
mom ask install chatgpt phone,4,T4 Random Ask and Conversations,0.0,Neutral
chatgpt aiart art midjourneyai stablediffusion2 runwayai openai full prompt gt,3,T3 Experiment AI,0.2732,Positive
kworoh4 well justice concrete quiet ready hunter score chatgpt账号 小火箭 推特账号 ig账号 韩国id 980316,3,T3 Experiment AI,0.7906,Positive
chatgpt answer totally clear event cybersecurity incident escalate court case type log raw enrich require depend several factor include jurisdiction specific compliance regulation involve,2,T2 Education and Foundations,0.4391,Positive
unleash power chatgpt4 content creation dive deep world advance ai chatgpt4 offer mindblowing feature content creator imagine craft visuals dalle 3 prowess produce highresolution aigenerated image chatgpt,3,T3 Experiment AI,0.2732,Positive
81487 think like home ground best chatgpt账号 飞机号 推特账号 ins账号 tiktok号,1,T1 Information Technology,0.7717,Positive
yall use chatgpt wrong,1,T1 Information Technology,-0.4767,Negative
yeah let ask chatgpt create one useless believe idf lie,4,T4 Random Ask and Conversations,0.128,Neutral
im play around side project note want work essay give first round prosification chatgpt see go enjoy edit much primary draft work might try thing,1,T1 Information Technology,0.7096,Positive
upset terrifies horrify order experience horror something chatgpt账号 飞机号 推特账号 推特号 linkedin账号 28886,1,T1 Information Technology,-0.9246,Negative
rise wave copyright lawsuit target chatgpt developer openai iam rise wave copyright lawsuit targ,1,T1 Information Technology,-0.4215,Negative
chatgpt write flag flown imam reza mosque iran typically religious cultural symbol flag color design different meaning important note specific interpretation may vary depend context group,2,T2 Education and Foundations,0.2023,Neutral
chatgpt 100000000 user,2,T2 Education and Foundations,0.0,Neutral
source chatgpt alexa read loud,1,T1 Information Technology,0.0,Neutral
chatgpt cool regex still get do task,1,T1 Information Technology,0.3182,Positive
ok chatgpt,1,T1 Information Technology,0.296,Positive
scholarly work take time deep thought ingenuity chatbots cant say actual core suppose ingenuity chatbots cant chatgpt transform postdoc experience,3,T3 Experiment AI,0.0,Neutral
chatgpt good write rough draft email,4,T4 Random Ask and Conversations,0.4404,Positive
act like werent connor v khabib lmao,4,T4 Random Ask and Conversations,-0.1645,Neutral
preserve give much leave bottom coffee bag thus warn chatgpt账号 飞机号 推特账号 谷歌账号 小火箭 48355,1,T1 Information Technology,-0.1531,Neutral
question u tell chatgpt solve image question write text,3,T3 Experiment AI,0.2023,Neutral
ask chatgpt whats definition fake news reply simply need take look _,1,T1 Information Technology,-0.4767,Negative
openai prepare boost chatgpt different model know gpt4 upcoming arrakis model would allow company run chatbot less expensively,1,T1 Information Technology,0.5574,Positive
nope didnt even open chatgpt osama bin laden ordinary man train usa do job destroy soviet union mosad plan 911 attack turn table make america brutal enemy muslim,1,T1 Information Technology,-0.9349,Negative
sort office importance obtain bribe kind great small chatgpt账号 飞机号 推特账号 tiktok账号 香港id 50854,1,T1 Information Technology,0.8481,Positive
thanx chatgpt,1,T1 Information Technology,0.0,Neutral
15 chatgpt prompt investment 2023 chatgptprompts promptshare prompt aiinvestment investment invest finance saving,3,T3 Experiment AI,0.0,Neutral
people copy paste chatgpt ghostwrite client,3,T3 Experiment AI,0.0,Neutral
1 number result last test wasnt yield result really beat long day school prepare 2 test schedule later today give code chatgpt find wrong,3,T3 Experiment AI,-0.4215,Negative
use chatgpt actually change aspect ratio,1,T1 Information Technology,0.0,Neutral
perflexity semelhante ao chatgpt perflexity,1,T1 Information Technology,0.0,Neutral
tell lot people ask chatgpt thing like generate list 6 best weapon valorant take add short personal line read example reference specific short,1,T1 Information Technology,0.6705,Positive
id bet hat write chatgpt reek,4,T4 Random Ask and Conversations,-0.5267,Negative
read like chatgpt,1,T1 Information Technology,0.3612,Positive
chatgpt please produce tldr tweet two idiot girl smirk deface poster kidnap woman child make sure use big word also say tldr mean really schmaltz ahh perfect thank chatbot youve serve well,1,T1 Information Technology,0.8344,Positive
10 chatgpt prompt write effective personalize email chatgpt chatgptprompts promptshare prompt gpt4 personalize emailmarketing personalizedemails aiassistant,3,T3 Experiment AI,0.4767,Positive
find chatgpt note study note academic offence change everything,1,T1 Information Technology,-0.296,Negative
im asshole although chatgpt say scientific evidence support claim,2,T2 Education and Foundations,0.4019,Positive
imagine effortlessly train chatgpt craft content thats uniquely ultimate brand ai prompt workshop develop brand voice articulate brand messaging guideline,3,T3 Experiment AI,0.0,Neutral
logistics excellence bring sopbox elevate logistics game sopboxs intuitive sop access know sopbox visit signup free demo sopbox logistics entreprenuer chatgpt gpt4 ai,4,T4 Random Ask and Conversations,0.8126,Positive
cyberpunkstyle blue apple stand white background image 3 𝙁𝙤𝙡𝙡𝙤𝙬 𝙛𝙤𝙧 𝙈𝙤𝙧𝙚 artificialintelligence ai nft nftart machinelearning chatgpt art tech deeplearning technology digitalart,3,T3 Experiment AI,0.0,Neutral
find profitable topic talk social medium use chatgpt gpt4 gpt4v contentcreator contentcreation socialmedia,1,T1 Information Technology,0.4404,Positive
test diversity midjourney v firefly happen run vague prompt model multiple time use chatgpt rate variety scenes element color composition generate image prompt test bird nature result,3,T3 Experiment AI,-0.1027,Neutral
dalle 3 good use case use mj im already pay chatgpt basically free job well way save money,3,T3 Experiment AI,0.8779,Positive
chatgpt please summarize lucas gage late commentary,3,T3 Experiment AI,0.3182,Positive
today tell chatgpt actually release data gathering exercise rlhf,3,T3 Experiment AI,0.0,Neutral
uk security chief warns increase terrorism threat iran urge protection chinese hacker heighten vigilance security measure crucial uksecurity cybersecurity,1,T1 Information Technology,-0.5106,Negative
mem chatgpt prompt marketing,3,T3 Experiment AI,0.0,Neutral
happen quixote way barcelona chatgpt账号 飞机号 推特账号 ins账号 google账号 71991,2,T2 Education and Foundations,0.0,Neutral
crazy chatgpt able output code picture think end nocode tool,4,T4 Random Ask and Conversations,-0.34,Negative
ask chatgpt pretend tell pickup line wayyyy accurate,1,T1 Information Technology,-0.1027,Neutral
z9vp1 ready attach front meeting work seat chatgpt账号 小火箭 推特账号 小火箭加速器 小火箭节点 748622,3,T3 Experiment AI,0.3612,Positive
sale discovery call exactly like chatgpt quality response dramatically impact specific phrasing word,2,T2 Education and Foundations,0.3612,Positive
thank god chatgpt vision,1,T1 Information Technology,0.6808,Positive
chatgpt answer question doesnt necessarily mean rely answer,4,T4 Random Ask and Conversations,0.0,Neutral
pega chatgpt,1,T1 Information Technology,0.0,Neutral
interest bot use something like chatgpt write reply site go unusable soon,4,T4 Random Ask and Conversations,0.6705,Positive
chatgpt great way add bug code,4,T4 Random Ask and Conversations,0.6249,Positive
guy want go rabbit hole use chatgpt compare likelihood die muslim extremism v city strict gun law spoiler gun free zone much dangerous hamas isi google spend prevent,3,T3 Experiment AI,-0.7964,Negative
plug chatgpt get youre welcome lol,1,T1 Information Technology,0.7003,Positive
make stuff scammer run scamtoshi get u buy didnt build anything easy use service bot power chatgpt fool u scam,1,T1 Information Technology,-0.8404,Negative
22855 calm time come gv语音 chatgpt账号 chatgpt账号 飞机号 推特账号 推特号 推特权重号,1,T1 Information Technology,0.3182,Positive
let go forth vet prime blur chatgpt ogv psyop sxp airdrop implode web3 psyop fxs amp vet,4,T4 Random Ask and Conversations,0.0,Neutral
chatgpt best adviser,1,T1 Information Technology,0.6369,Positive
would difference orthodox idea theosis hermetic idea gnosis chatgpt orthodox christian idea theosis hermetic idea gnosis deal spiritual transformation union divine distinct,1,T1 Information Technology,0.5574,Positive
honorable course stake everything formidable gamble word powerful munition,1,T1 Information Technology,0.743,Positive
mem chatgpt landingpage,1,T1 Information Technology,0.0,Neutral
new duo hoping best,3,T3 Experiment AI,0.7906,Positive
realistic woman snake hair resemble greek medusa 34 view image 𝙁𝙤𝙡𝙡𝙤𝙬 𝙛𝙤𝙧 𝙈𝙤𝙧𝙚 artificialintelligence ai nft nftart machinelearning chatgpt art tech deeplearning technology digitalart,3,T3 Experiment AI,0.0,Neutral
90 chatgpt question could answer good search engine much faster ai seem like duct tape break search today,4,T4 Random Ask and Conversations,0.6597,Positive
ill say straight point agree call shadow cat need step milkshake need take come back sober cogent post chatgpt required part make weird chatgpt post respond,1,T1 Information Technology,-0.0258,Neutral
g7 kid cant spell cant maths correction school dont spell test anymore teacher dont help student correction teacher say use chatgpt help correct maths bet know sogi,2,T2 Education and Foundations,-0.5448,Negative
aipowered future rapidly approachingleaders champion transformation nurturing culture adaptation continuous learning paul leonardi refine fernando chatgpt,4,T4 Random Ask and Conversations,0.7845,Positive
microsoft unveils uaedeveloped chatgptlike ai assistant,4,T4 Random Ask and Conversations,0.0,Neutral
look like staff know use chatgpt,1,T1 Information Technology,0.3612,Positive
chatgpt dalle 3 joke,3,T3 Experiment AI,0.296,Positive
ai aiart art aiartcommunity nftart nftartist prompt promptshare promptgenerator chatgpt artificialintelligence dalle3 dont really need dalle3 interprets nlp user input request input default rewrite 4 distinct unique,3,T3 Experiment AI,0.0,Neutral
chatgpt really well response stackoverflow,4,T4 Random Ask and Conversations,0.3384,Positive
dalle 3 via chatgpt 4,2,T2 Education and Foundations,0.0,Neutral
im interested tech giant allow creator build llms create product reason chatgpt valuable entire company build top,2,T2 Education and Foundations,0.8625,Positive
xgqzd3o guy ancient marry chemical confusion chatgpt账号 小火箭 推特账号 韩国id tiktok账号 199310,3,T3 Experiment AI,-0.296,Negative
check chatgpt plugins,1,T1 Information Technology,0.0,Neutral
indie dev problem chatgpt even google solve real time solve day big tech problem multi day slack thread several video call still solve month later reorg remove people know problem,1,T1 Information Technology,-0.5719,Negative
goodbye amplify hello chatgpt,1,T1 Information Technology,0.0,Neutral
dont give chatgpt,4,T4 Random Ask and Conversations,0.0,Neutral
ask chatgpt well,4,T4 Random Ask and Conversations,0.2732,Positive
chatgpt one respect space,4,T4 Random Ask and Conversations,0.4767,Positive
chatgpt copy paste,2,T2 Education and Foundations,0.0,Neutral
whoever write marlas close statement need tell there new version chatgpt,1,T1 Information Technology,0.0,Neutral
omg chatgpt verge greatness forget competent content appropriate word choice good rhythm tug effectively emotion,2,T2 Education and Foundations,0.7351,Positive
99647 mountain beneath cover lemon orange olive branch chatgpt账号 飞机号 推特账号 推特号 linkedin账号,1,T1 Information Technology,0.0,Neutral
horrify news dont wont use chatgpt value think community act avoid collapse least valuable,1,T1 Information Technology,-0.9098,Negative
theyll release chatgpt finish create,2,T2 Education and Foundations,0.2732,Positive
e main apart craze little thoughtful culture gentleman w chatgpt账号 飞机号 推特账号 facebook账号 推特刷粉 10835,1,T1 Information Technology,0.1796,Neutral
look pd school plc contact schedule session ai edtech sel stem stem chatgpt amp via,2,T2 Education and Foundations,0.0,Neutral
prompt,3,T3 Experiment AI,0.0,Neutral
liberal democrat chatgpt account right nitro nascar fan super liberal limited vocabulary hard as,4,T4 Random Ask and Conversations,0.5994,Positive
he talk get noncombatant active war zone litterally opposite ethnic cleanse save innocent life rather let die,4,T4 Random Ask and Conversations,-0.128,Neutral
mf chatgpt right tryna make shit,1,T1 Information Technology,-0.5574,Negative
oieeee chatgpt,1,T1 Information Technology,0.0,Neutral
chatgpt sanction russian govt foreign agent charge discredit russian arm force,1,T1 Information Technology,0.0,Neutral
library run special webinar event year recording find library latte page catch webinar chatgpt health research,2,T2 Education and Foundations,0.4019,Positive
little interaction chatgpt issue theyre dodge question,1,T1 Information Technology,0.0,Neutral
itsy bitsy warcrimes tiny hamas rocket poem generate falcon 180b chatgpt refuse trivialize war crime,4,T4 Random Ask and Conversations,-0.8934,Negative
ced lie oath swear ready swear whole truth ever chatgpt账号 飞机号 推特账号 facebook账号 telegram刷粉 69518,1,T1 Information Technology,0.5267,Positive
chatgpt robotic process automation rpa like digital assistant repetitive task bot use software mimic human action automate task like data entry freeing time meaningful work rpa automation,3,T3 Experiment AI,0.8126,Positive
ill anal smoothie synthetic chatgpt fluid,1,T1 Information Technology,-0.4215,Negative
every time pierre say something please use chatgpt binggpt bring fact thanks,2,T2 Education and Foundations,0.6369,Positive
fight correct chatgpt contribution ai,1,T1 Information Technology,-0.3818,Negative
era technology struggle excel formula understand amp utilizing google drive chatgpt amp technology help advance workplace join u oct 24th 7pm gossett hall interactive workshop utilize technology workplace,4,T4 Random Ask and Conversations,0.6808,Positive
thats awesome thanks share idea could chatgpt cant wait give try,3,T3 Experiment AI,0.8481,Positive
thanks chatgpt,3,T3 Experiment AI,0.4404,Positive
structural dynamic analysis rocket propulsion launch vehicle andrew brown phd andrew brown phd nasamarshall space flight center,1,T1 Information Technology,0.3818,Positive
apple music adobe bartleby brainly canva coursehero chegg chatgpt4 crunchyroll disney plus grammarly hbo go iwanttfc microsoft 365 netflix nba league pas picsart quillbot quizlet spotify scribd skill share studocu tidal viva max viu ph vpn wps youtube amp many dm u 0592,4,T4 Random Ask and Conversations,0.296,Positive
generative ai powerful come risk employer leverage smart way minimize risk yes discuss genai ai chatgpt,2,T2 Education and Foundations,0.6124,Positive
chatgpt llm base transformer transformer paper publish 2017 softmaxbased attention mechanism propose earlier 2014 bahdanau cho bengio machine translation fast weight controller similar transformer,2,T2 Education and Foundations,0.0,Neutral
apple music adobe bartleby brainly canva coursehero chegg chatgpt4 crunchyroll disney plus grammarly hbo go iwanttfc microsoft 365 netflix nba league pas picsart quillbot quizlet spotify scribd skill share studocu tidal viva max viu ph vpn wps youtube amp many dm u 0591,4,T4 Random Ask and Conversations,0.296,Positive
apple music adobe bartleby brainly canva coursehero chegg chatgpt4 crunchyroll disney plus grammarly hbo go iwanttfc microsoft 365 netflix nba league pas picsart quillbot quizlet spotify scribd skill share studocu tidal viva max viu ph vpn wps youtube amp many dm u 0590,4,T4 Random Ask and Conversations,0.296,Positive
heterosexual dominance piss hierarchal thing chatgpt tell piss clout,4,T4 Random Ask and Conversations,-0.5574,Negative
ask chatgpt metaverse product buy share link hughs twitter,4,T4 Random Ask and Conversations,0.296,Positive
apple music adobe bartleby brainly canva coursehero chegg chatgpt4 crunchyroll disney plus grammarly hbo go iwanttfc microsoft 365 netflix nba league pas picsart quillbot quizlet spotify scribd skill share studocu tidal viva max viu ph vpn wps youtube amp many dm u 0589,4,T4 Random Ask and Conversations,0.296,Positive
leverage llmbased conversational assistant bot enhance software interaction rag knowledgegraph opal smartagent cdo cio cto cdao cmo explainer ai agi chatgpt llm virtuosordbms,4,T4 Random Ask and Conversations,0.0,Neutral
writes headline please use chatgpt something improve one care guy cause major traffic delay get drunk kill someone traffic delay moot point know manslaughter,1,T1 Information Technology,-0.5106,Negative
didnt get around today reason dont want spend time laptop awhile pain point fresh head want get problem solve might even chatgpt come question,1,T1 Information Technology,-0.5178,Negative
ln5dlu like plant panel expense scene congress chatgpt账号 小火箭 推特账号 tiktok账号 国际抖音 3654,3,T3 Experiment AI,0.3612,Positive
chatgpt like,4,T4 Random Ask and Conversations,0.3612,Positive
dont need mr obvious everyone get brain internet chatgpt truth always accept,4,T4 Random Ask and Conversations,0.5994,Positive
smooth brain internet,1,T1 Information Technology,0.0,Neutral
navigate use chatgpt law school student inevitably use generative ai pose challenge assessment write monica goyal caravel law,3,T3 Experiment AI,0.0772,Neutral
ha use something like couple article help create outline full text id spit random thought point one big voice note take text use chatgpt organize coherent manner,1,T1 Information Technology,0.8271,Positive
ai generate one bard chatgpt,4,T4 Random Ask and Conversations,0.0,Neutral
chatgpt centralize turbo 100m ath bittensor tao decentralize kizuna lt 1m decentralization satoshi envision,1,T1 Information Technology,0.0,Neutral
clearly use chatgpt make game,1,T1 Information Technology,0.4019,Positive
rt saas ai feature meet application without moat chatgpt artificialintelligence enterpreneurship,2,T2 Education and Foundations,0.0,Neutral
finally get access chatgpt vision amp voice utterly mind blown though think still offer natural organic feeling voice chat thats miss ability human ai able dynamically crosstalk interrupt one another,4,T4 Random Ask and Conversations,0.7003,Positive
work nongaming company ai tool super useful programming recently really chatgpt rather internal tool internal codebase code editor similar copilotthey mostly speed cod dont mess around,4,T4 Random Ask and Conversations,0.8364,Positive
levei golpe chatgpt,1,T1 Information Technology,0.0,Neutral
correction chatgpt expose part grant application process mockery,1,T1 Information Technology,-0.1027,Neutral
far delusional fullyself drive car populate road long way chatgpt look history channel truth behind driverless car hype,2,T2 Education and Foundations,0.3182,Positive
friend download free audio review copy amp leave review chatgpt gemini amp llama journey ai agi asi amp singularity transformative innovation book series amazon audible redeem onetime use code promo code zz3c6csfgb6tz,3,T3 Experiment AI,0.8625,Positive
do laughing say quixote reply behalf stoutly chatgpt账号 飞机号 推特账号 facebook账号 海外邮箱 59585,1,T1 Information Technology,0.4939,Positive
friend download free audio review copy amp leave review chatgpt gemini amp llama journey ai agi asi amp singularity transformative innovation book series amazon audible redeem onetime use code promo code y9uelgdd35zfx,3,T3 Experiment AI,0.8625,Positive
job involve stand lot trouble foot pain tomorrow_x_together katrinakaif itzy_ringo tontawan_t thenamechapter chatgpt muncry dolphins gobucs jiminxtiffany,1,T1 Information Technology,-0.7184,Negative
friend download free audio review copy amp leave review chatgpt gemini amp llama journey ai agi asi amp singularity transformative innovation book series amazon audible redeem onetime use code promo code w4nlcuh2e4lyz,3,T3 Experiment AI,0.8625,Positive
friend download free audio review copy amp leave review chatgpt gemini amp llama journey ai agi asi amp singularity transformative innovation book series amazon audible redeem onetime use code promo code urltcphfkq4td,3,T3 Experiment AI,0.8625,Positive
regulatory capture legitimate concern response tobe guard regulatory capture pay attention legislation consideredpassed call problem eg chatgpt get grandfathered,2,T2 Education and Foundations,-0.4767,Negative
talk w chatgpt use voice literally 10x good experience feel natural ask question get answer,4,T4 Random Ask and Conversations,0.6597,Positive
consent antipattern use ampersand user able consent history training independently chatgpt,3,T3 Experiment AI,0.4215,Positive
friend download free audio review copy amp leave review chatgpt gemini amp llama journey ai agi asi amp singularity transformative innovation book series amazon audible redeem onetime use code promo code st75spw38hzb5,3,T3 Experiment AI,0.8625,Positive
chatgpt generate as response,3,T3 Experiment AI,0.0,Neutral
true check chatgpt oh god know,1,T1 Information Technology,0.5994,Positive
talk chatgpt,2,T2 Education and Foundations,0.0,Neutral
chatgpt as reply,1,T1 Information Technology,0.0,Neutral
use chatgpt4 dalle 3,3,T3 Experiment AI,0.0,Neutral
want know old amim age thank chatgpt give answer,1,T1 Information Technology,0.4215,Positive
friend download free audio review copy amp leave review chatgpt gemini amp llama journey ai agi asi amp singularity transformative innovation book series amazon audible redeem onetime use code promo code slm88nfkr98f4,3,T3 Experiment AI,0.8625,Positive
