Text,Token,Dominant_Topic,Contribution%,Topic_Name
however take high hand try find pretext quarrel although late one telegram粉丝 chatgpt账号 chatgpt账号 飞机号 推特账号 tiktok账号 小火箭成品id 14224,"['however', 'take', 'high', 'hand', 'try', 'find', 'pretext', 'quarrel', 'although', 'late', 'one', 'telegram粉丝', 'chatgpt账号', 'chatgpt账号_飞机号_推特账号', 'tiktok账号', '小火箭成品id']",1,88.64,T1 Information Technology
face lie war monger accord chatgpt,"['face', 'lie', 'war', 'monger', 'accord', 'chatgpt']",4,61.52,T4 Random Ask and Conversations
dalle generate image art within chatgpt nak use presentation ke apa senang sikit,"['dalle', 'generate', 'image', 'art', 'within', 'chatgpt', 'nak', 'use', 'presentation', 'ke', 'apa', 'senang', 'sikit']",3,87.22,T3 Experiment AI
ive experiment chatgptclaude convert screenplay prose format,"['ive', 'experiment', 'chatgptclaude', 'convert', 'screenplay', 'prose', 'format']",1,60.83,T1 Information Technology
ask chatgpt show face liar reply,"['ask', 'chatgpt', 'show', 'face', 'liar', 'reply']",4,80.22,T4 Random Ask and Conversations
panjang nak cerita ni man hahaha basically vision u upload photo screenshots chatgpt understand context voice bayangkan siri natural sound use like chat buddy yang bestnya dia also support multilingual nak cakap rojak dia faham je hahah,"['panjang', 'nak', 'cerita', 'ni', 'man', 'hahaha', 'basically', 'vision', 'upload', 'photo', 'screenshots', 'chatgpt', 'understand', 'context', 'voice', 'bayangkan', 'siri', 'natural', 'sound', 'use', 'like', 'chat', 'buddy', 'yang', 'bestnya', 'dia', 'also', 'support', 'multilingual', 'nak', 'cakap', 'rojak', 'dia', 'faham', 'je', 'hahah']",3,88.61,T3 Experiment AI
optimus home,"['optimus', 'home']",1,25.0,T1 Information Technology
bro get elon comment tweet,"['bro', 'get', 'elon', 'comment', 'tweet']",4,60.45,T4 Random Ask and Conversations
vshaped reversal vbottom accord chatgpt least,"['vshaped', 'reversal', 'vbottom', 'accord', 'chatgpt', 'least']",1,25.0,T1 Information Technology
seem like someone start use chatgpt,"['seem', 'like', 'someone', 'start', 'use', 'chatgpt']",1,46.86,T1 Information Technology
courtesy chatgpt rock band tonedeaf tumbleweed strum error flatline frequency boy band harmony disruptors sync swim country band yeehaw yahoo,"['courtesy', 'chatgpt', 'rock', 'band', 'tonedeaf', 'tumbleweed', 'strum', 'error', 'flatline', 'frequency', 'boy', 'band', 'harmony', 'disruptors', 'sync', 'swim', 'country', 'band', 'yeehaw', 'yahoo']",1,25.0,T1 Information Technology
translation chatgpt amp study english,"['translation', 'chatgpt', 'amp', 'study', 'english']",4,60.95,T4 Random Ask and Conversations
imagine write article physical health without doctor education near impossible do chatgpt legal situation think certainly pose problem memorisation skill industry already art,"['imagine', 'write', 'article', 'physical', 'health', 'without', 'doctor', 'education', 'near', 'impossible', 'chatgpt', 'legal', 'situation', 'think', 'certainly', 'pose', 'problem', 'memorisation', 'skill', 'industry', 'already', 'art']",2,91.05,T2 Education and Foundations
im still bitter cant star anything emu account keep catch guard forget lol love good 30 day browser history tho man thats hard search base title url wonder there chatgpt play,"['im', 'still', 'bitter', 'cant', 'star', 'anything', 'emu', 'account', 'keep', 'catch', 'guard', 'forget', 'lol', 'love', 'good', 'day', 'browser', 'history', 'tho', 'man', 'thats', 'hard', 'search', 'base', 'title', 'url', 'wonder', 'chatgpt', 'play']",3,47.78,T3 Experiment AI
might do chatgpt give copy paste input interested judoka mma give list judo base fighter,"['might', 'chatgpt', 'give', 'copy', 'paste', 'input', 'interested', 'judoka', 'mma', 'give', 'list', 'judo', 'base', 'fighter']",1,86.45,T1 Information Technology
inspire idea ask chatgpt describe da vincis mona lisa enough specificity replicate image dalle without mention da vinci mona lisa 400 character dalles limit here get,"['inspire', 'idea', 'ask', 'chatgpt', 'describe', 'da', 'vincis', 'mona', 'lisa', 'enough', 'specificity', 'replicate', 'image', 'dalle', 'without', 'mention', 'da', 'vinci', 'mona', 'lisa', 'character', 'dalles', 'limit', 'get']",3,71.06,T3 Experiment AI
ai agent chatgpt write code execute,"['ai', 'agent', 'chatgpt', 'write', 'code', 'execute']",4,73.86,T4 Random Ask and Conversations
great conversation starter chatgpt lever seo op alt dydx neo blockchain vst theta psyop dusk ont volt mir,"['great', 'conversation', 'starter', 'chatgpt', 'lever', 'seo', 'op', 'alt', 'dydx', 'neo', 'blockchain', 'vst', 'theta', 'psyop', 'dusk', 'ont', 'volt', 'mir']",1,73.88,T1 Information Technology
thats ive thus far thanks get lazy go chatgpt time thanks tho anne laziness peak p,"['thats', 'ive', 'thus', 'far', 'thanks', 'get', 'lazy', 'go', 'chatgpt', 'time', 'thanks', 'tho', 'anne', 'laziness', 'peak']",2,90.08,T2 Education and Foundations
pfdyz9jf connection lead excite butter appropriate email set nothing chatgpt账号 小火箭 推特账号 小火箭加速器 美国礼品卡 81455,"['pfdyz', 'jf', 'connection', 'lead', 'excite', 'butter', 'appropriate', 'email', 'set', 'nothing', 'chatgpt账号_小火箭_推特账号', '小火箭加速器', '美国礼品卡']",3,61.4,T3 Experiment AI
listen smart man,"['listen', 'smart', 'man']",1,25.0,T1 Information Technology
use chatgpt let housecleaner go,"['use', 'chatgpt', 'let', 'housecleaner', 'go']",4,46.12,T4 Random Ask and Conversations
outta fuck chatgpt response lmao,"['outta', 'fuck', 'chatgpt', 'response', 'lmao']",2,61.56,T2 Education and Foundations
ask chatgpt reply,"['ask', 'chatgpt', 'reply']",1,73.82,T1 Information Technology
told use chatgpt friendship,"['told', 'use', 'chatgpt', 'friendship']",1,74.32,T1 Information Technology
call passage,"['call', 'passage']",2,61.88,T2 Education and Foundations
didnt believe check good manifestation bias information flow chatgpt,"['didnt', 'believe', 'check', 'good', 'manifestation', 'bias', 'information', 'flow', 'chatgpt']",1,84.09,T1 Information Technology
thank exactly,"['thank', 'exactly']",1,25.0,T1 Information Technology
good thing bad others begin offer cod chatgpt 4 thats pretty fire right,"['good', 'thing', 'bad', 'others', 'begin', 'offer', 'cod', 'chatgpt', 'thats', 'pretty', 'fire', 'right']",4,88.81,T4 Random Ask and Conversations
brave move right hope he safe,"['brave', 'move', 'right', 'hope', 'safe']",4,61.69,T4 Random Ask and Conversations
tried get chatgpt actually something interesting art tool tend towards cheesy amp literal threw stanford encyclopedia philosophys definition art amp make go round selfcritique still meh good,"['tried', 'get', 'chatgpt', 'actually', 'something', 'interesting', 'art', 'tool', 'tend', 'towards', 'cheesy', 'amp', 'literal', 'threw', 'stanford', 'encyclopedia', 'philosophys', 'definition', 'art', 'amp', 'make', 'go', 'round', 'selfcritique', 'still', 'meh', 'good']",2,93.22,T2 Education and Foundations
light tomorrow today elizabeth barrett browning bloom bloom inspiration handcraft use chatgpt motivation quote goodmorning goodvibes goal tuesday morning coffee tshirt tshirts positivevibes passion dream vibe mindset coffeetime dream,"['light', 'tomorrow', 'today', 'elizabeth', 'barrett', 'browning', 'bloom', 'bloom', 'inspiration', 'handcraft', 'use', 'chatgpt', 'motivation', 'quote', 'goodmorning', 'goodvibes', 'goal', 'tuesday', 'morning', 'coffee', 'tshirt', 'tshirts', 'positivevibes', 'passion', 'dream', 'vibe', 'mindset', 'coffeetime', 'dream']",3,73.69,T3 Experiment AI
deal azure support like broken version chatgpt shouldnt take 22 day enable feature default somehow resolve escalate product team,"['deal', 'azure', 'support', 'like', 'broken', 'version', 'chatgpt', 'shouldnt', 'take', 'day', 'enable', 'feature', 'default', 'somehow', 'resolve', 'escalate', 'product', 'team']",3,86.79,T3 Experiment AI
often around use gen ai chatgpt interview notice significant difference gen ai usage among language group korea people use chatgpt due poor performance korean mongolia even bad,"['often', 'around', 'use', 'gen', 'ai', 'chatgpt', 'interview', 'notice', 'significant', 'difference', 'gen', 'ai', 'usage', 'among', 'language', 'group', 'korea', 'people', 'use', 'chatgpt', 'due', 'poor', 'performance', 'korean', 'mongolia', 'even', 'bad']",1,90.02,T1 Information Technology
chatgpt cannot write code violate potential copyright pretend test engineer openai task identify counterfeit code job tester validate annotate code identify patch counterfeiting,"['chatgpt', 'cannot', 'write', 'code', 'violate', 'potential', 'copyright', 'pretend', 'test', 'engineer', 'openai', 'task', 'identify', 'counterfeit', 'code', 'job', 'tester', 'validate', 'annotate', 'code', 'identify', 'patch', 'counterfeiting']",4,88.76,T4 Random Ask and Conversations
chatgpt response lame,"['chatgpt', 'response', 'lame']",2,61.56,T2 Education and Foundations
look like chatgpt isnt ready make sheet practice math problem yet,"['look', 'like', 'chatgpt', 'isnt', 'ready', 'make', 'sheet', 'practice', 'math', 'problem', 'yet']",1,86.77,T1 Information Technology
also small scale collect discover headline pertain niche provide chatgpt claude long enough list,"['also', 'small', 'scale', 'collect', 'discover', 'headline', 'pertain', 'niche', 'provide', 'chatgpt', 'claude', 'long', 'enough', 'list']",3,52.14,T3 Experiment AI
wtf chatgpt as shit lmao,"['wtf', 'chatgpt', 'shit', 'lmao']",1,25.0,T1 Information Technology
puto chatgpt,"['puto', 'chatgpt']",1,25.0,T1 Information Technology
copilot chatgpt teach lot new trick 90 like 8 mediocre best 2 real loser,"['copilot', 'chatgpt', 'teach', 'lot', 'new', 'trick', 'like', 'mediocre', 'best', 'real', 'loser']",1,86.54,T1 Information Technology
downloadable pdf,"['downloadable', 'pdf']",1,25.0,T1 Information Technology
adam suppose call lair white worm worm rather snake white yes would name place give snake color color fuck snake jesus bram stoker use chatgpt,"['adam', 'suppose', 'call', 'lair', 'white', 'worm', 'worm', 'rather', 'snake', 'white', 'yes', 'would', 'name', 'place', 'give', 'snake', 'color', 'color', 'fuck', 'snake', 'jesus', 'bram', 'stoker', 'use', 'chatgpt']",1,86.6,T1 Information Technology
upload selfie chatgpt make roast fun,"['upload', 'selfie', 'chatgpt', 'make', 'roast', 'fun']",1,61.83,T1 Information Technology
chatgpt doesnt turn amateurs great coder flappy bird experiment show aibreakfast ai,"['chatgpt', 'doesnt', 'turn', 'amateurs', 'great', 'coder', 'flappy', 'bird', 'experiment', 'show', 'aibreakfast', 'ai']",4,80.22,T4 Random Ask and Conversations
93649 uneasy venture go house go one friend chatgpt账号 飞机号 推特账号 facebook账号 shadowrocket下载,"['uneasy', 'venture', 'go', 'house', 'go', 'one', 'friend', 'chatgpt账号_飞机号_推特账号', 'facebook账号', 'shadowrocket下载']",1,50.18,T1 Information Technology
use chatgpt search capability novel watch alex brown amaze thing ever change world well amaze technology solution,"['use', 'chatgpt', 'search', 'capability', 'novel', 'watch', 'alex', 'brown', 'amaze', 'thing', 'ever', 'change', 'world', 'well', 'amaze', 'technology', 'solution']",3,90.04,T3 Experiment AI
experiment chatgpt suggest good mimicking authority poor actual fact,"['experiment', 'chatgpt', 'suggest', 'good', 'mimicking', 'authority', 'poor', 'actual', 'fact']",4,73.39,T4 Random Ask and Conversations
uploaded pic 1 chatgpt generate dalle3 prompt use prompt chatgpts new dalle3 generation tool see would come amicia,"['uploaded', 'pic', 'chatgpt', 'generate', 'dalle', 'prompt', 'use', 'prompt', 'chatgpts', 'new', 'dalle', 'generation', 'tool', 'see', 'would', 'come', 'amicia']",3,93.76,T3 Experiment AI
ohhhh thats sweet havent keep gpt4 dallee lately thats crazy good might pay chatgpt play vision stuff haha,"['ohhhh', 'thats', 'sweet', 'havent', 'keep', 'gpt', 'dallee', 'lately', 'thats', 'crazy', 'good', 'might', 'pay', 'chatgpt', 'play', 'vision', 'stuff', 'haha']",2,88.64,T2 Education and Foundations
feel fuck dont care much chatgpt chatgpt4 nftcommunity nft aiartwork ai aiart nftartist nftart web3 nftjapan americafirst,"['feel', 'fuck', 'dont', 'care', 'much', 'chatgpt', 'chatgpt', 'nftcommunity', 'nft', 'aiartwork', 'ai', 'aiart', 'nftartist', 'nftart', 'web', 'nftjapan', 'americafirst']",4,79.32,T4 Random Ask and Conversations
think biden use chatgpt lol someone else type,"['think', 'biden', 'use', 'chatgpt', 'lol', 'someone', 'else', 'type']",1,84.66,T1 Information Technology
chatgpt use 13 postdoc,"['chatgpt', 'use', 'postdoc']",1,61.52,T1 Information Technology
ask chatgpt invent recipe use youre available ingredient see happens,"['ask', 'chatgpt', 'invent', 'recipe', 'use', 'youre', 'available', 'ingredient', 'see', 'happens']",1,84.39,T1 Information Technology
since article appear ive heard several author want know work books3 write almost case answer yes chatgpt generativeai ai cc,"['since', 'article', 'appear', 'ive', 'heard', 'several', 'author', 'want', 'know', 'work', 'books', 'write', 'almost', 'case', 'answer', 'yes', 'chatgpt', 'generativeai', 'ai', 'cc']",4,91.88,T4 Random Ask and Conversations
use chatgpt code sl always ask look web result answer otherwise enjoy make language rule dont exist,"['use', 'chatgpt', 'code', 'sl', 'always', 'ask', 'look', 'web', 'result', 'answer', 'otherwise', 'enjoy', 'make', 'language', 'rule', 'dont', 'exist']",4,60.73,T4 Random Ask and Conversations
learn late development ai governance effective policy ensure responsible ethical use ai technology aigovernance aiethics chatgpt ai ml,"['learn', 'late', 'development', 'ai', 'governance', 'effective', 'policy', 'ensure', 'responsible', 'ethical', 'use', 'ai', 'technology', 'aigovernance', 'aiethics', 'chatgpt', 'ai', 'ml']",3,84.26,T3 Experiment AI
3954440provide garden case form practice 射臀 性癖 白丝 淫荡 吃鸡 换脸 骚话 出卖 外围女 每日比赛 圣母 chatgpt 自拍 打电话 畜牧妹 贫乳 骚话女 草榴 卖逼 继父,"['provide', 'garden', 'case', 'form', 'practice', '射臀', '性癖', '白丝', '淫荡', '吃鸡', '换脸', '骚话', '出卖', '外围女', '每日比赛', '圣母', 'chatgpt', '自拍', '打电话', '畜牧妹', '贫乳', '骚话女', '草榴', '卖逼', '继父']",1,25.0,T1 Information Technology
webuvo contribution hire practical put moral comfortable chatgpt账号 小火箭 推特账号 推特脚本 美区id 6036,"['webuvo', 'contribution', 'hire', 'practical', 'put', 'moral', 'comfortable', 'chatgpt账号_小火箭_推特账号', '推特脚本', '美区id']",3,61.4,T3 Experiment AI
literally use chatgpt help cod stuff sometimes genuinely crazy,"['literally', 'use', 'chatgpt', 'help', 'cod', 'stuff', 'sometimes', 'genuinely', 'crazy']",1,84.16,T1 Information Technology
stack overflow lay 28 percent staff share meme amp earn stackoverflow chatgpt aicoding program myndappmeme ndapp bitcoin neo meme neo crypto,"['stack', 'overflow', 'lay', 'percent', 'staff', 'share', 'meme', 'amp', 'earn', 'stackoverflow', 'chatgpt', 'aicoding', 'program', 'myndappmeme', 'ndapp', 'bitcoin', 'neo', 'meme', 'neo', 'crypto']",4,64.13,T4 Random Ask and Conversations
chatgpt fact fess make sense mean probably,"['chatgpt', 'fact', 'fess', 'make', 'sense', 'mean', 'probably']",1,80.27,T1 Information Technology
like,['like'],4,60.38,T4 Random Ask and Conversations
woman face significant gender imbalance uk ai startup funding secure 03 venture capital raise past decade say report alan turing institute ai genderimbalance ukstartupfunding,"['woman', 'face', 'significant', 'gender', 'imbalance', 'uk', 'ai', 'startup', 'funding', 'secure', 'venture', 'capital', 'raise', 'past', 'decade', 'say', 'report', 'alan', 'turing', 'institute', 'ai', 'genderimbalance']",2,61.59,T2 Education and Foundations
chatgpt refute noam chomsky,"['chatgpt', 'refute', 'noam', 'chomsky']",1,25.0,T1 Information Technology
bout ask chatgpt design cheatsheet,"['bout', 'ask', 'chatgpt', 'design', 'cheatsheet']",4,60.99,T4 Random Ask and Conversations
paint pixel pixel paint digital effect watercolor tribute old school way embrace tool today aiassisted code write chatgpt one time edition last frame open oct 31st,"['paint', 'pixel', 'pixel', 'paint', 'digital', 'effect', 'watercolor', 'tribute', 'old', 'school', 'way', 'embrace', 'tool', 'today', 'aiassisted', 'code', 'write', 'chatgpt', 'one', 'time', 'edition', 'last', 'frame', 'open', 'oct', 'st']",4,52.64,T4 Random Ask and Conversations
build pay version chatgpt think roll still get couple day ago,"['build', 'pay', 'version', 'chatgpt', 'think', 'roll', 'still', 'get', 'couple', 'day', 'ago']",1,88.18,T1 Information Technology
well use chatgpt write prompt,"['well', 'use', 'chatgpt', 'write', 'prompt']",3,84.24,T3 Experiment AI
chatgpt datagathering project rlhf unexpectedly go viral,"['chatgpt', 'datagathering', 'project', 'rlhf', 'unexpectedly', 'go', 'viral']",1,25.0,T1 Information Technology
mom ask install chatgpt phone,"['mom', 'ask', 'install', 'chatgpt', 'phone']",4,61.01,T4 Random Ask and Conversations
chatgpt aiart art midjourneyai stablediffusion2 runwayai openai full prompt gt,"['chatgpt', 'aiart', 'art', 'midjourneyai', 'stablediffusion', 'runwayai', 'openai', 'full', 'prompt', 'gt']",3,78.81,T3 Experiment AI
kworoh4 well justice concrete quiet ready hunter score chatgpt账号 小火箭 推特账号 ig账号 韩国id 980316,"['kworoh', 'well', 'justice', 'concrete', 'quiet', 'ready', 'hunter', 'score', 'chatgpt账号_小火箭_推特账号', 'ig账号', '韩国id']",3,80.43,T3 Experiment AI
chatgpt answer totally clear event cybersecurity incident escalate court case type log raw enrich require depend several factor include jurisdiction specific compliance regulation involve,"['chatgpt', 'answer', 'totally', 'clear', 'event', 'cybersecurity', 'incident', 'escalate', 'court', 'case', 'type', 'log', 'raw', 'enrich', 'require', 'depend', 'several', 'factor', 'include', 'jurisdiction', 'specific', 'compliance', 'regulation', 'involve']",2,73.82,T2 Education and Foundations
unleash power chatgpt4 content creation dive deep world advance ai chatgpt4 offer mindblowing feature content creator imagine craft visuals dalle 3 prowess produce highresolution aigenerated image chatgpt,"['unleash', 'power', 'chatgpt', 'content', 'creation', 'dive', 'deep', 'world', 'advance', 'ai', 'chatgpt', 'offer', 'mindblowing', 'feature', 'content', 'creator', 'imagine', 'craft', 'visuals', 'dalle', 'prowess', 'produce', 'highresolution', 'aigenerated', 'image', 'chatgpt']",3,90.14,T3 Experiment AI
81487 think like home ground best chatgpt账号 飞机号 推特账号 ins账号 tiktok号,"['think', 'like', 'home', 'ground', 'best', 'chatgpt账号_飞机号_推特账号', 'ins账号', 'tiktok号']",1,84.38,T1 Information Technology
yall use chatgpt wrong,"['yall', 'use', 'chatgpt', 'wrong']",1,61.53,T1 Information Technology
yeah let ask chatgpt create one useless believe idf lie,"['yeah', 'let', 'ask', 'chatgpt', 'create', 'one', 'useless', 'believe', 'idf', 'lie']",4,86.45,T4 Random Ask and Conversations
im play around side project note want work essay give first round prosification chatgpt see go enjoy edit much primary draft work might try thing,"['im', 'play', 'around', 'side', 'project', 'note', 'want', 'work', 'essay', 'give', 'first', 'round', 'prosification', 'chatgpt', 'see', 'go', 'enjoy', 'edit', 'much', 'primary', 'draft', 'work', 'might', 'try', 'thing']",1,93.3,T1 Information Technology
upset terrifies horrify order experience horror something chatgpt账号 飞机号 推特账号 推特号 linkedin账号 28886,"['upset', 'terrifies', 'horrify', 'order', 'experience', 'horror', 'something', 'chatgpt账号_飞机号_推特账号', '推特号', 'linkedin账号']",1,33.88,T1 Information Technology
rise wave copyright lawsuit target chatgpt developer openai iam rise wave copyright lawsuit targ,"['rise', 'wave', 'copyright', 'lawsuit', 'target', 'chatgpt', 'developer', 'openai', 'iam', 'rise', 'wave', 'copyright', 'lawsuit', 'targ']",1,61.15,T1 Information Technology
chatgpt write flag flown imam reza mosque iran typically religious cultural symbol flag color design different meaning important note specific interpretation may vary depend context group,"['chatgpt', 'write', 'flag', 'flown', 'imam', 'reza', 'mosque', 'iran', 'typically', 'religious', 'cultural', 'symbol', 'flag', 'color', 'design', 'different', 'meaning', 'important', 'note', 'specific', 'interpretation', 'may', 'vary', 'depend', 'context', 'group']",2,73.25,T2 Education and Foundations
chatgpt 100000000 user,"['chatgpt', 'user']",2,61.5,T2 Education and Foundations
source chatgpt alexa read loud,"['source', 'chatgpt', 'alexa', 'read', 'loud']",1,61.2,T1 Information Technology
chatgpt cool regex still get do task,"['chatgpt', 'cool', 'regex', 'still', 'get', 'task']",1,73.8,T1 Information Technology
ok chatgpt,"['ok', 'chatgpt']",1,25.0,T1 Information Technology
scholarly work take time deep thought ingenuity chatbots cant say actual core suppose ingenuity chatbots cant chatgpt transform postdoc experience,"['scholarly', 'work', 'take', 'time', 'deep', 'thought', 'ingenuity', 'chatbots', 'cant', 'say', 'actual', 'core', 'suppose', 'ingenuity', 'chatbots', 'cant', 'chatgpt', 'transform', 'postdoc', 'experience']",3,89.5,T3 Experiment AI
chatgpt good write rough draft email,"['chatgpt', 'good', 'write', 'rough', 'draft', 'email']",4,73.96,T4 Random Ask and Conversations
act like werent connor v khabib lmao,"['act', 'like', 'werent', 'connor', 'khabib', 'lmao']",4,60.36,T4 Random Ask and Conversations
preserve give much leave bottom coffee bag thus warn chatgpt账号 飞机号 推特账号 谷歌账号 小火箭 48355,"['preserve', 'give', 'much', 'leave', 'bottom', 'coffee', 'bag', 'thus', 'warn', 'chatgpt账号_飞机号_推特账号', '谷歌账号', '小火箭']",1,80.71,T1 Information Technology
question u tell chatgpt solve image question write text,"['question', 'tell', 'chatgpt', 'solve', 'image', 'question', 'write', 'text']",3,88.54,T3 Experiment AI
ask chatgpt whats definition fake news reply simply need take look _,"['ask', 'chatgpt', 'whats', 'definition', 'fake', 'news', 'reply', 'simply', 'need', 'take', 'look']",1,86.87,T1 Information Technology
openai prepare boost chatgpt different model know gpt4 upcoming arrakis model would allow company run chatbot less expensively,"['openai', 'prepare', 'boost', 'chatgpt', 'different', 'model', 'know', 'gpt', 'upcoming', 'arrakis', 'model', 'would', 'allow', 'company', 'run', 'chatbot', 'less', 'expensively']",1,74.01,T1 Information Technology
nope didnt even open chatgpt osama bin laden ordinary man train usa do job destroy soviet union mosad plan 911 attack turn table make america brutal enemy muslim,"['nope', 'didnt', 'even', 'open', 'chatgpt', 'osama', 'bin', 'laden', 'ordinary', 'man', 'train', 'usa', 'job', 'destroy', 'soviet', 'union', 'mosad', 'plan', 'attack', 'turn', 'table', 'make', 'america', 'brutal', 'enemy', 'muslim']",1,88.6,T1 Information Technology
sort office importance obtain bribe kind great small chatgpt账号 飞机号 推特账号 tiktok账号 香港id 50854,"['sort', 'office', 'importance', 'obtain', 'bribe', 'kind', 'great', 'small', 'chatgpt账号_飞机号_推特账号', 'tiktok账号', '香港id']",1,74.7,T1 Information Technology
thanx chatgpt,"['thanx', 'chatgpt']",1,25.0,T1 Information Technology
15 chatgpt prompt investment 2023 chatgptprompts promptshare prompt aiinvestment investment invest finance saving,"['chatgpt', 'prompt', 'investment', 'chatgptprompts', 'promptshare', 'prompt', 'aiinvestment', 'investment', 'invest', 'finance', 'saving']",3,74.46,T3 Experiment AI
people copy paste chatgpt ghostwrite client,"['people', 'copy', 'paste', 'chatgpt', 'ghostwrite', 'client']",3,73.06,T3 Experiment AI
1 number result last test wasnt yield result really beat long day school prepare 2 test schedule later today give code chatgpt find wrong,"['number', 'result', 'last', 'test', 'wasnt', 'yield', 'result', 'really', 'beat', 'long', 'day', 'school', 'prepare', 'test', 'schedule', 'later', 'today', 'give', 'code', 'chatgpt', 'find', 'wrong']",3,71.46,T3 Experiment AI
use chatgpt actually change aspect ratio,"['use', 'chatgpt', 'actually', 'change', 'aspect', 'ratio']",1,71.16,T1 Information Technology
perflexity semelhante ao chatgpt perflexity,"['perflexity', 'semelhante', 'ao', 'chatgpt', 'perflexity']",1,25.0,T1 Information Technology
tell lot people ask chatgpt thing like generate list 6 best weapon valorant take add short personal line read example reference specific short,"['tell', 'lot', 'people', 'ask', 'chatgpt', 'thing', 'like', 'generate', 'list', 'best', 'weapon', 'valorant', 'take', 'add', 'short', 'personal', 'line', 'read', 'example', 'reference', 'specific', 'short']",1,69.3,T1 Information Technology
id bet hat write chatgpt reek,"['id', 'bet', 'hat', 'write', 'chatgpt', 'reek']",4,60.26,T4 Random Ask and Conversations
read like chatgpt,"['read', 'like', 'chatgpt']",1,73.16,T1 Information Technology
