created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Oct 17 23:57:59 +0000 2023;1714430588885536861;"Having chatGPT in my “education” folder is insane https://t.co/eaqC7RnBjM";0;0;0;0;en;1595536794799448073;1714430588885536861;Fl4ckoDanny;https://twitter.com/Fl4ckoDanny/status/1714430588885536861
Tue Oct 17 23:57:59 +0000 2023;1714430586784297437;"Na moral, vagabundo é foda né? Simplesmente hackearam meu CHAT GPT!!!!! WTF?????";0;0;0;0;pt;1382374268999204876;1714430586784297437;PsychoMorbid_;https://twitter.com/PsychoMorbid_/status/1714430586784297437
Tue Oct 17 23:57:58 +0000 2023;1714430584259301639;"@jublls "absolutamente certo" chatgpt se humilhou";0;1;0;1;pt;1471479963094298627;1713946227161645178;MafePratesSam;https://twitter.com/MafePratesSam/status/1714430584259301639
Tue Oct 17 23:57:57 +0000 2023;1714430578223968479;"本日発売おめでとうございまーす💡超お忙しいはずなのに「半年前こんな本があったら良かったな」というモチベーションで執筆できてしまう熱量に驚き🔥  書籍「ChatGPT/LangChainによるチャットシステム構築［実践］入門」を執筆しました - yoshidashingo https://t.co/DepL4m6iaw";0;1;1;10;ja;1423139318;1714430578223968479;kakakakakku;https://twitter.com/kakakakakku/status/1714430578223968479
Tue Oct 17 23:57:53 +0000 2023;1714430565116788924;"AI界隈でChatGPT越えと称される「Claude2」がつい先日、日本公開。  "Claude2", which has been called "beyond ChatGPT," was recently released to the public in Japan.  英語なら長文の質問、設定をも理解しつくすAIが出現。驚異のワンショットラーニング。英語を学ぶ別の理由が生まれる衝撃。";0;1;1;12;ja;1442294433412640768;1714430565116788924;ToraChan_Japan;https://twitter.com/ToraChan_Japan/status/1714430565116788924
Tue Oct 17 23:57:49 +0000 2023;1714430548213662105;"@lovevfp @glow1n 或许可以用 chatgpt 把一些提问的答案更新下，还是可以做一些事情的";0;0;0;0;zh;142983634;1714187175934529780;maisui99;https://twitter.com/maisui99/status/1714430548213662105
Tue Oct 17 23:57:45 +0000 2023;1714430530106572802;"Drinking enough red bulls to simulate the effects of the drug from Limitless and then having chatgpt burn off 8% of the environment's lifespan to come up with a new slur for non-binary people";0;4;0;44;en;1229552088956293120;1714430530106572802;OnlyAWorldAway;https://twitter.com/OnlyAWorldAway/status/1714430530106572802
Tue Oct 17 23:57:40 +0000 2023;1714430510733365315;"เช้านี้ ให้ ระบบ AI DallE3 ของ ChatGPT วาดรูป #เงินดิจิทัล กับการกระตุ้นเศรษฐกิจประเทศไทย เผื่อใครสนใจนำไปใช้ครับผม https://t.co/2ug4DjgRMv";0;0;0;1;th;8539442;1714430510733365315;tri333;https://twitter.com/tri333/status/1714430510733365315
Tue Oct 17 23:57:33 +0000 2023;1714430480039211496;"@football_ll55 @MoSalah اترك محمد صلاح على جنب وانتقد الي عندك";0;0;0;0;ar;1361394539248893959;1714374980043973010;sflw7;https://twitter.com/sflw7/status/1714430480039211496
Tue Oct 17 23:57:26 +0000 2023;1714430451060998650;"@abyssebaleine 確かにボストン・ダイナミクスのバク転ロボットがchatGPTなどの対話型AI付けてコンビニや宅配荷物届けに来ても「予想出来る未来」なんですよねぇ🤔";0;0;0;2;ja;554003763;1714424589621821791;qpgmr516;https://twitter.com/qpgmr516/status/1714430451060998650
Tue Oct 17 23:57:03 +0000 2023;1714430352238805167;"@indiaxz1 Joga no chatgpt e manda ele fazer resumo e fé";0;0;0;1;pt;1024784898874322945;1714430253597176204;GuiComZ;https://twitter.com/GuiComZ/status/1714430352238805167
Tue Oct 17 23:57:18 +0000 2023;1714430416306720990;"that can wring a child's heart  and with a face like death reached the sitting-room  where his parents   #ChatGPT账号 #飞机号 #推特账号 #推特号 #LINKEDIN账号 🍊🍃🪙 46441 https://t.co/gWNT4dpFkc";0;7;7;8;en;3475226594;1714430416306720990;zezodemon1;https://twitter.com/zezodemon1/status/1714430416306720990
Tue Oct 17 23:56:53 +0000 2023;1714430310178308313;"@bt3 الله لا يوفقني انك اشرف من كل الخونه";0;0;0;0;ar;1361394539248893959;1714385050379210818;sflw7;https://twitter.com/sflw7/status/1714430310178308313
Tue Oct 17 23:56:52 +0000 2023;1714430305560355112;"e como que eu vou fazer um trabalho em carbon se o chatgpt não conhece?";0;0;0;0;pt;1482931395672563714;1714430305560355112;roddo18th;https://twitter.com/roddo18th/status/1714430305560355112
Tue Oct 17 23:56:48 +0000 2023;1714430288493719726;"@Conoche Si quiere representantes mediocres ahí usted. Yo (y toda Costa Rica)  merece representantes que sean estadistas no serviles de empresas, iglesias o tecnologia. Para eso pedimos a Chat GPT para que gobierne.";0;1;0;0;es;1562150108548026373;1714343757926072525;linea_progre;https://twitter.com/linea_progre/status/1714430288493719726
Tue Oct 17 23:56:39 +0000 2023;1714430254524027231;"After ChatGPT disruption, Stack Overflow lays off 28 percent of staff https://t.co/LsWtLCejl0 #AI";0;0;0;0;en;1386211;1714430254524027231;ajbass;https://twitter.com/ajbass/status/1714430254524027231
Tue Oct 17 23:56:39 +0000 2023;1714430253001822554;"Chat gpt thật tuyệt https://t.co/bDbv3oQqyZ";0;0;0;0;vi;1571701075710967810;1714430253001822554;NgocHoc2;https://twitter.com/NgocHoc2/status/1714430253001822554
Tue Oct 17 23:56:39 +0000 2023;1714430252586594330;"こういうの、実際のコード見せて　ChatGPTさんに解説してもらうと　割と上手そう　（素人にも分かりやすそう）　たぶん、既に人間の能力をはるかに凌駕してると思う　　（コンピューターの専門家でも　「専門」だから　そんな　なんでもかんでも知ってる人は　なかなか居ないと思うので）";0;0;0;0;ja;181689541;1714430252586594330;boxheadroom;https://twitter.com/boxheadroom/status/1714430252586594330
Tue Oct 17 23:56:27 +0000 2023;1714430203953561926;"@DrEliDavid @nytimes I asked Chatgpt what country has the most sophisticated Propaganda machine, and it said ISRAEL.";0;0;0;1;en;1432893120404852741;1714425041893384297;seanpatricksd;https://twitter.com/seanpatricksd/status/1714430203953561926
Tue Oct 17 23:56:12 +0000 2023;1714430139130589191;"asked chatgpt to make me a halloween quiz, think the questions might be too hard https://t.co/RO6NCqP3XN";0;1;0;3;en;18330407;1714430139130589191;gretajpg;https://twitter.com/gretajpg/status/1714430139130589191
Tue Oct 17 23:56:00 +0000 2023;1714430087922127043;"#工程师工具 假如一个问题，你编辑好规则，然后让 ChatGPT 自己去思考会如何，发现一个工具叫 AgentVerse，简化了为大型语言模型创建自定义多智能体环境的过程，比如说让 AI 来模拟 囚徒困境 有点儿意思。 🤖 https://t.co/omDwSCvmGL https://t.co/mw3XarCkY0";0;3;7;25;zh;1521688129559613440;1714430087922127043;HiTw93;https://twitter.com/HiTw93/status/1714430087922127043
Tue Oct 17 23:55:58 +0000 2023;1714430079357366393;"@BaraaNezarRayan Sorry chat gpt";0;0;0;0;en;897856421810892802;1714424016448975209;safaa_jabari;https://twitter.com/safaa_jabari/status/1714430079357366393
Tue Oct 17 23:55:56 +0000 2023;1714430070423437723;"Y tú, ¿le temes a la Inteligencia Artificial?  😱⁠ ⁠   #IA #AI #inteligenciaartificial #chatgpt #temor #tecnofobia https://t.co/P0CXnqZ5jY";0;0;0;0;es;2328007951;1714428191643676722;TlacuacheBlue;https://twitter.com/TlacuacheBlue/status/1714430070423437723
Tue Oct 17 23:55:52 +0000 2023;1714430054850019712;"@noahgsolomon chatgpt to the rescue 😂";0;0;0;0;en;808128730182877184;1714413478461534511;samcodes_io;https://twitter.com/samcodes_io/status/1714430054850019712
Tue Oct 17 23:55:40 +0000 2023;1714430004120134105;"ChatGPTに音声認識入れたら、すごいらく。 入力しなくていいから肩関節周囲炎にもやさしい。 ついでにひきこもりでぜんぜんしゃべらない問題も、これで解決される（？）";0;0;0;0;ja;1585096393408270336;1714430004120134105;simauma_neko8;https://twitter.com/simauma_neko8/status/1714430004120134105
Tue Oct 17 23:55:37 +0000 2023;1714429991000137909;"chatgpt is fun cause I’m like “can you do..?” And it’s like “fuck ya brother here you go:…”  None of this humming and hawwwyeeee’in";0;0;0;0;en;1423342190588268544;1714429991000137909;seci44916587;https://twitter.com/seci44916587/status/1714429991000137909
Tue Oct 17 23:55:29 +0000 2023;1714429959962513717;"💥OpenAgents💥: an OPEN platform for language agents in the wild  TL DR: you local ChatGPT code interpreter! 🔥";0;0;0;11;en;1465140087193161734;1714429959962513717;sivil_taram;https://twitter.com/sivil_taram/status/1714429959962513717
Tue Oct 17 23:55:28 +0000 2023;1714429955596312746;"しかしスキーマ変更出来とはいっても完了までどんくらい時間かかるんだろうな…";0;0;0;0;ja;10655762;1714429955596312746;dala00;https://twitter.com/dala00/status/1714429955596312746
Tue Oct 17 23:55:19 +0000 2023;1714429917692072319;"She  however  took the high hand  and tried to find a pretext for a quarrel. "Although I was late? One  #Telegram粉丝 #ChatGPT账号   #ChatGPT账号 #飞机号 #推特账号 #tiktok账号 #小火箭成品id 🪞🎈👼🚗 14224 https://t.co/iXPjZE1UHr";0;7;7;7;en;3434481254;1714429917692072319;thebellysociety;https://twitter.com/thebellysociety/status/1714429917692072319
Tue Oct 17 23:55:06 +0000 2023;1714429864466399639;"Face of lying war monger according to ChatGpt https://t.co/XbjrOSvGTp";0;0;0;0;en;1530626544477126656;1714429864466399639;DomainBarista;https://twitter.com/DomainBarista/status/1714429864466399639
Tue Oct 17 23:55:02 +0000 2023;1714429846057542131;"Davidson Sánchez por qué será tan bruto hpta";0;2;0;0;es;1075989595198767104;1714429846057542131;Orlandooozuleta;https://twitter.com/Orlandooozuleta/status/1714429846057542131
Tue Oct 17 23:54:59 +0000 2023;1714429832874893409;"Nein, das was @PiratHarburg hier gerade so schreibt ist nicht üblich für Mitglieder der Piratenpartei, alles ist gut, keine Ahnung was er hat, aber zumindest kann man sagen, dass er oder ChatGPT eine blühende Fantasie hat. Wahrheit statt Geschichten aus dem Paulaner Garten!";0;0;0;0;de;1307324562389061632;1714429832874893409;ntifaPIRATEN;https://twitter.com/ntifaPIRATEN/status/1714429832874893409
Tue Oct 17 23:54:55 +0000 2023;1714429816475381796;"今更DevelopmentからProductionにプロモートしたんだけど数分接続できなくなったな…焦った";0;0;0;0;ja;10655762;1714429816475381796;dala00;https://twitter.com/dala00/status/1714429816475381796
Tue Oct 17 23:54:49 +0000 2023;1714429791506686245;"@aiman_daai00 Dall-e you can generate image or art within ChatGPT. Nak use for presentation ke apa senang sikit";0;3;0;1;en;942430922317611009;1713509689458335855;zaim____;https://twitter.com/zaim____/status/1714429791506686245
Tue Oct 17 23:54:45 +0000 2023;1714429775081783644;"＞ホワイトカラーの仕事こそ、AIで代替しやすい時代に  ChatGPTのプロンプトで使える回答を引き出す“7R”とは　マーケター必須スキルとAI最前線 | 【レポート】デジタルマーケターズサミット2023 Summer #SmartNews  https://t.co/q20qqy2W8b";0;0;0;0;ja;155799611;1714429775081783644;drwfinch;https://twitter.com/drwfinch/status/1714429775081783644
Tue Oct 17 23:54:39 +0000 2023;1714429751040115037;"GPT4、あるプロンプトで「上位10サイトを参照」を入れるとほぼnetwork errorで止まる。5サイトとすると止まらないけど、結果に「未提出」が多発し不明な点が多い。  で、今のところbingにやってもらっている。 GPTで解決する方法はないかなぁ。できればプラグインも絡め使いたい！  #ChatGPT";0;0;0;0;ja;971859333016207360;1714429751040115037;TsuruWp;https://twitter.com/TsuruWp/status/1714429751040115037
Tue Oct 17 23:54:19 +0000 2023;1714429665329492029;"友達に「宿題写させて！」と懇願する女子学生 #AIイラスト bingでは２回「安全でない画像コンテンツが〜」とNGだったがChatGPTは普通に作れた https://t.co/epdnHISKyO";0;1;0;3;ja;1642320565389389829;1714429665329492029;oikawaOxO;https://twitter.com/oikawaOxO/status/1714429665329492029
Tue Oct 17 23:54:18 +0000 2023;1714429660346376481;"I’ve been doing some experiments with having ChatGPT/Claude convert from screenplay to prose formats…   https://t.co/e3RmX6jrI0";0;1;0;1;en;661253;1714429660346376481;matthew_mccray;https://twitter.com/matthew_mccray/status/1714429660346376481
Tue Oct 17 23:54:06 +0000 2023;1714429612917174686;"mi amiga descubrió el chat gpt recién hoy, tiene 80 años";0;0;0;0;es;2981587689;1714429612917174686;shawnxarg_;https://twitter.com/shawnxarg_/status/1714429612917174686
Tue Oct 17 23:53:51 +0000 2023;1714429547456688257;"@DrEliDavid @nytimes I asked ChatGpt to show me the face of a liar, and this is what it replied with: https://t.co/ICgGEer4XS";0;1;0;14;en;1530626544477126656;1714425041893384297;DomainBarista;https://twitter.com/DomainBarista/status/1714429547456688257
Tue Oct 17 23:53:43 +0000 2023;1714429516620427359;"@aiman_daai00 Panjang nak cerita ni man hahaha. Basically vision u can upload any photos, screenshots and ChatGPT can understand the context. Voice, bayangkan Siri but more natural sound. Can use like chat buddy. Yang bestnya dia also support multilingual. So nak cakap rojak dia faham je hahah";0;2;0;1;en;942430922317611009;1713509689458335855;zaim____;https://twitter.com/zaim____/status/1714429516620427359
Tue Oct 17 23:53:42 +0000 2023;1714429509728862219;"CHAT GPT É MUITO FOFO VSFD EU ABUSANDO DELE PRA ESCOLA";0;1;0;1;pt;1355287121783873537;1714429509728862219;Leletorres08;https://twitter.com/Leletorres08/status/1714429509728862219
Tue Oct 17 23:53:33 +0000 2023;1714429470768017783;"@elonmusk @tszzl When can I have Optimus in my home 🫣";0;0;0;2;en;1613004034096381952;1714419358854959154;chatgpt21;https://twitter.com/chatgpt21/status/1714429470768017783
Tue Oct 17 23:53:32 +0000 2023;1714429468029161503;"baba chatgpt’den almış bu mesajları belli";0;0;0;0;tr;542871537;1714429468029161503;ysnbykkse;https://twitter.com/ysnbykkse/status/1714429468029161503
Tue Oct 17 23:53:28 +0000 2023;1714429453047312616;"ChatGPT + Canva + Hootsuite = https://t.co/XRXRR90z4d  这是你的全能工具，用来管理你的社交媒体工作。  我会告诉你如何使用它：";0;2;6;38;zh;1367360490427453441;1714429453047312616;0xluffy_eth;https://twitter.com/0xluffy_eth/status/1714429453047312616
Tue Oct 17 23:53:19 +0000 2023;1714429412257505336;"@tszzl Bro got Elon to comment on his tweet";0;0;0;2;en;1613004034096381952;1714419358854959154;chatgpt21;https://twitter.com/chatgpt21/status/1714429412257505336
Tue Oct 17 23:53:15 +0000 2023;1714429397011460382;"@80IQmindset V-Shaped Reversal (V-Bottom)  According to ChatGPT at least";0;1;0;1;en;174192450;1714427902169612776;omercier;https://twitter.com/omercier/status/1714429397011460382
Tue Oct 17 23:53:06 +0000 2023;1714429361024344486;"@convomfs Chatgpt";0;0;0;0;en;957740526278619137;1714250713176711340;hongjooochan;https://twitter.com/hongjooochan/status/1714429361024344486
Tue Oct 17 23:52:35 +0000 2023;1714429230069723373;"Seems like someone at @united started using ChatGPT… 😉";0;0;0;2;en;24401279;1714429230069723373;elizlaraki;https://twitter.com/elizlaraki/status/1714429230069723373
Tue Oct 17 23:52:35 +0000 2023;1714429227322491109;"@Jason Courtesy of ChatGPT. Rock Bands:  The Tone-deaf Tumbleweeds Strumming Errors Flatline Frequencies  Boy Bands:  Harmony Disruptors Sync or Swim Country Bands:  Yeehaw Yahoos";0;0;0;0;en;325712837;1714284251028570595;BlueSteelCo;https://twitter.com/BlueSteelCo/status/1714429227322491109
Tue Oct 17 23:52:34 +0000 2023;1714429225665802382;"3/AI企業の経営者としての個人的見解 ChatGPTの導入が進む中、日本企業の懸念材料を解消し、より多くの企業が導入を検討することが期待されます。 日本のAI技術の進化とともに、ChatGPTの導入がビジネスの新たな潮流となることを強く感じます。";0;1;0;0;ja;1691791069951012864;1714429218652848499;hakky_kazumasa;https://twitter.com/hakky_kazumasa/status/1714429225665802382
Tue Oct 17 23:52:34 +0000 2023;1714429223660929497;"2/ChatGPTの影響は？ ･日本企業のChatGPT導入にはデータ侵害や知的財産リスクなどの懸念がある。 ･だが、導入・検討中の日本企業は60％超。導入が増加中。 ･OpenAIのChatGPT公開後、日本からのアクセスは世界3位。";0;1;0;0;ja;1691791069951012864;1714429218652848499;hakky_kazumasa;https://twitter.com/hakky_kazumasa/status/1714429223660929497
Tue Oct 17 23:52:33 +0000 2023;1714429221257552234;"1/興味深いポイント3つ ･東証プライム企業の10%以上、186社がChatGPT連携サービスを導入済みであることが判明。 ･サービス業・銀行業(金融業)で特にChatGPTの導入が進行中。次いで情報通信業、小売業、電気・ガス業が続く。 ･日本のChatGPTの利用率は7％で、米国の51％と比べて大きな差がある。 https://t.co/zz3PzR0DRN";0;1;0;0;ja;1691791069951012864;1714429218652848499;hakky_kazumasa;https://twitter.com/hakky_kazumasa/status/1714429221257552234
Tue Oct 17 23:52:32 +0000 2023;1714429218652848499;"《東証プライムChatGPT導入調査》 アイスマイリーが東証プライム企業1834社のChatGPT導入実態を調査し、2023年10月16日に公開。導入状況、業種別導入割合、使用目的などが判明しました。 続きはスレッドで&gt &gt &gt  https://t.co/yB9SXlKp2K";0;1;0;2;ja;1691791069951012864;1714429218652848499;hakky_kazumasa;https://twitter.com/hakky_kazumasa/status/1714429218652848499
Tue Oct 17 23:52:29 +0000 2023;1714429205184942146;"Translation: ChatGPT &amp  me (studying English)";0;0;0;0;en;1430505894731677708;1714419266706092420;DoniRaca;https://twitter.com/DoniRaca/status/1714429205184942146
Tue Oct 17 23:52:27 +0000 2023;1714429193834926123;"@twentyarms @MartinNebelong @TimSweeneyEpic Imagine writing article on your own physical health. Without a doctors education it’s near impossible, until now. It can be done with ChatGPT. Same for legal situations. I think it will certainly pose a problem for memorisation and skills in some industries (already does for art)";0;0;0;1;en;18270468;1712582256810762295;heuristics;https://twitter.com/heuristics/status/1714429193834926123
Tue Oct 17 23:52:24 +0000 2023;1714429182699249989;"@martinwoodward I’m still bitter that I can’t star anything with an EMU account 😞 Keeps catching me off guard because I forget lol  I do love a good 30 days of browser history tho, but man that’s hard to search just based on title and URL 😂 Wonder if there’s a ChatGPT play there…";0;0;0;0;en;7911092;1714428040548110667;ryandcoates;https://twitter.com/ryandcoates/status/1714429182699249989
Tue Oct 17 23:52:24 +0000 2023;1714429181977923826;"@fenoxsky Might have done. Here is what ChatGPT gave me that I copy and pasted. Input was "I am interested in Judoka in MMA, can you give me a list of Judo based fighters?" https://t.co/8h3BbMKE21";0;0;0;4;en;993980580659367936;1714408357837078673;ThisIsNotDSP;https://twitter.com/ThisIsNotDSP/status/1714429181977923826
Tue Oct 17 23:51:59 +0000 2023;1714429076859916658;"@jeffersonpooley Inspired by these ideas, I asked ChatGPT to describe Da Vinci's Mona Lisa with enough specificity to replicate the image in DALL-E. But without mentioning Da Vinci or Mona Lisa... and in only 400 characters... because those were DALL-E's limits.   Here's what I got: https://t.co/9df8e4j4jZ";0;1;0;0;en;368969297;1714427929092825496;AdamGraber;https://twitter.com/AdamGraber/status/1714429076859916658
Tue Oct 17 23:51:51 +0000 2023;1714429042856800729;"A.I. Agents: ChatGPT Can Write Its Own Code And Execute It https://t.co/VPHENPS1Da";0;0;0;0;en;29767023;1714429042856800729;margweston;https://twitter.com/margweston/status/1714429042856800729
Tue Oct 17 23:51:32 +0000 2023;1714428966247792945;"Tmj chatgpt, me salvou mais uma vez https://t.co/JfOq2cqfpz";0;0;0;1;pt;1575676120157982720;1714428966247792945;GomesAleatorio;https://twitter.com/GomesAleatorio/status/1714428966247792945
Tue Oct 17 23:51:28 +0000 2023;1714428947784441992;"This is a great conversation starter.   #ChatGPT $lever #SEO $op #Alts $dydx $NEO #Blockchain $VST $THETA #PSYOP $DUSK $ONT $VOLT $mir";0;0;0;5;en;1422372980835844096;1714428947784441992;watchoutcrypto;https://twitter.com/watchoutcrypto/status/1714428947784441992
Tue Oct 17 23:51:25 +0000 2023;1714428935319261274;"@AnneMossYeys That’s what I’ve been doing thus far thanks! I just get lazy having to go to ChatGPT to do it each time Thanks tho Anne!   Laziness is just peak with me :p";0;0;0;0;en;1056186599174737920;1714128371955953860;NinaClapperton;https://twitter.com/NinaClapperton/status/1714428935319261274
Tue Oct 17 23:51:24 +0000 2023;1714428930478707122;"pfDYz9jF 🎶😢💩😈 connection lead exciting butter appropriate e-mail set nothing  #ChatGPT账号 #小火箭 #推特账号 #小火箭加速器 #美国礼品卡 81455 🎶💩😩 https://t.co/q0qtQv6BnX";0;9;9;9;en;2707679310;1714428930478707122;sfsfadsfasfs;https://twitter.com/sfsfadsfasfs/status/1714428930478707122
Tue Oct 17 23:51:22 +0000 2023;1714428924837388400;"@TheSopranosClub “Listen to him, he is very smart man”";0;0;0;1;en;4054695753;1714413080715686168;SoulSoldSeprtly;https://twitter.com/SoulSoldSeprtly/status/1714428924837388400
Tue Oct 17 23:51:21 +0000 2023;1714428918361432573;"I used #ChatGPT to let our housecleaner go.";0;1;0;1;en;2978187070;1714428918361432573;__T_Williams__;https://twitter.com/__T_Williams__/status/1714428918361432573
Tue Oct 17 23:51:17 +0000 2023;1714428904084287576;"たぶん、プログラミング言語の仕様書とか　フレームワークのドキュメントやサンプルコードも　興味無い人だと秒で寝れそうだけど  「1行おきにコメント付けて」 で適切なコメント付けてくれる無料ChatGPTさんすごい。有料だとどうなってしまうのか（）";0;0;0;0;ja;181689541;1714428490022539533;boxheadroom;https://twitter.com/boxheadroom/status/1714428904084287576
Tue Oct 17 23:51:12 +0000 2023;1714428883334754346;"@jimalbarano @CensoredMen Outta here with your fucking chatgpt responses lmao";0;0;0;0;en;1286414070808281091;1714406428700463265;FreedomReclaim;https://twitter.com/FreedomReclaim/status/1714428883334754346
Tue Oct 17 23:51:12 +0000 2023;1714428879631245649;"¿Por qué muchas empresas están prohibiendo ChatGPT? https://t.co/IyaLEeYkNm";0;0;0;0;es;4267188135;1714428879631245649;DatoAlMinuto;https://twitter.com/DatoAlMinuto/status/1714428879631245649
Tue Oct 17 23:51:11 +0000 2023;1714428879048220802;"@ChaseDisPaper1 He asked ChatGPT for that reply https://t.co/AdTi3l13jg";0;1;0;5;en;33453882;1714427994452660481;jmckinney2323;https://twitter.com/jmckinney2323/status/1714428879048220802
Tue Oct 17 23:51:07 +0000 2023;1714428859930603819;"He just told me he used ChatGPT for this. Friendship over.";0;8;1;33;en;705213121229688834;1714428859930603819;LoLZianni;https://twitter.com/LoLZianni/status/1714428859930603819
Tue Oct 17 23:51:05 +0000 2023;1714428852020097160;"@TheSopranosClub It’s called “Passages”…";0;0;0;1;en;4054695753;1714413080715686168;SoulSoldSeprtly;https://twitter.com/SoulSoldSeprtly/status/1714428852020097160
Tue Oct 17 23:51:04 +0000 2023;1714428845858697416;"I didn’t believe it until I checked it myself. It’s good that we now have a manifestation of bias in our information flow through ChatGPT. https://t.co/yBvpoTeuBx";0;1;0;5;en;1160319498651500545;1714428845858697416;SomayehTohidi;https://twitter.com/SomayehTohidi/status/1714428845858697416
Tue Oct 17 23:50:46 +0000 2023;1714428773750432153;"人の気持ちなんて言う、大衆やマーケ受けする奴はchatgpt含めAIは得意だと思うよ。 というか、得意で無いと産廃。";0;0;0;0;ja;888716620234858496;1714428773750432153;k_otogawa;https://twitter.com/k_otogawa/status/1714428773750432153
