VADER_Sentiment,tweet_lemmatized,clean_text
Neutral,"['happen', 'todaynjoin', 'u', 'insightful', 'linkedin', 'live', 'session', 'chatgpt', 'readiness', 'enterprise', 'use', 'case', 'nwhether', 'youre', 'ai', 'enthusiast', 'business', 'professional', 'conversation', 'miss', 'nnsee']",happen todaynjoin u insightful linkedin live session chatgpt readiness enterprise use case nwhether youre ai enthusiast business professional conversation miss nnsee
Neutral,"['use', 'chatgpt', 'create', 'midjourney', 'image', 'prompt', 'next', 'level']",use chatgpt create midjourney image prompt next level
Neutral,"['ask', 'chatgpt', 'sell', 'rubiks', 'cubes', 'course', 'use', 'specific', 'parametersnnhow', 'think', 'nltlt', 'ai', 'thread', 'gtgt']",ask chatgpt sell rubiks cubes course use specific parametersnnhow think nltlt ai thread gtgt
Neutral,"['explores', 'role', 'chatgpt', 'journalism', 'morning', 'report', 'member', 'exclusive', 'daily', 'email', 'round', 'day', 'vancouver', 'tech', 'newsnncheck', 'heren']",explores role chatgpt journalism morning report member exclusive daily email round day vancouver tech newsnncheck heren
Neutral,"['top', 'storyfango', 'termal', 'volcánico', 'america', 'there', 'chatgpt', 'use', 'case', 'healthcarendocs', 'watch', 'see']",top storyfango termal volcánico america there chatgpt use case healthcarendocs watch see
Neutral,"['friend', 'use', 'chatgpt', 'ai']",friend use chatgpt ai
Neutral,"['create', 'javascript', 'todo', 'list', 'chatgpt', 'want', 'see', 'itnnfreecodecamp', '100daysofcoding', 'webdeveloper', 'javascript', '100devs', 'reactjs']",create javascript todo list chatgpt want see itnnfreecodecamp 100daysofcoding webdeveloper javascript 100devs reactjs
Neutral,"['chatgpt', 'anyone', 'already', 'tip', 'store', 'share', 'understanding', 'session', 'ask', 'classification', 'dialog', 'content', 'insert', 'back', 'work', 'somewhat', 'look', 'tip']",chatgpt anyone already tip store share understanding session ask classification dialog content insert back work somewhat look tip
Neutral,"['chatgpt', 'thing', 'kinda', 'fun']",chatgpt thing kinda fun
Neutral,"['huge', 'potential', 'limitation', 'ai', 'chatgpt']",huge potential limitation ai chatgpt
Neutral,"['likely', 'company', 'lead', 'battery', 'electric', 'vehicle', 'production', '2030nnwhile', 'may', 'company', 'also', 'play', 'significant', 'role', 'electric', 'vehicle', 'market', '2030', 'currently', 'well', 'position', 'continue', 'lead', 'industrynnchatgpt', 'tsla']",likely company lead battery electric vehicle production 2030nnwhile may company also play significant role electric vehicle market 2030 currently well position continue lead industrynnchatgpt tsla
Neutral,"['try', 'openai', 'example', 'future', 'settop', 'box', 'thats', 'amaze', 'feel', 'difficulty', 'recall', 'memory', 'find', 'specific', 'information', 'take', 'time', 'search', 'web', 'brings', 'quick', 'answer', 'start', 'worry', 'wikipedia', 'openai', 'chatgpt']",try openai example future settop box thats amaze feel difficulty recall memory find specific information take time search web brings quick answer start worry wikipedia openai chatgpt
Neutral,"['week', 'play', 'chatgpt', 'ive', 'come', 'follow', 'conclusionnnin', '2023', 'see', 'ai', 'change', 'world', 'know', 'capitalism', 'turn', 'head', 'next', 'decade', 'nnim', 'excite', 'scared']",week play chatgpt ive come follow conclusionnnin 2023 see ai change world know capitalism turn head next decade nnim excite scared
Neutral,"['im', 'old', 'enough', 'remember', 'original', 'chatgpt']",im old enough remember original chatgpt
Neutral,"['nocoders', 'test', 'chatgpt', 'versolynnrequires', 'train', 'good', 'promptsnnwish', 'way', 'open', 'chat', 'previous', 'training']",nocoders test chatgpt versolynnrequires train good promptsnnwish way open chat previous training
Neutral,"['2021', 'day', '04python', 'chatgpt', 'solves', 'day', '4', 'two', 'prompt', 'program', 'softwareengineering', 'bigdata', 'datascience', 'analytics', 'ai', 'python', 'javascript']",2021 day 04python chatgpt solves day 4 two prompt program softwareengineering bigdata datascience analytics ai python javascript
Neutral,"['please', 'dont', 'rely', 'chatgpt', 'websecurity', 'guidance']",please dont rely chatgpt websecurity guidance
Neutral,"['open', 'ai', 'admits', 'chatgpt', 'risksn', 'ndignewsupdate', 'digcryptonews', 'dotsinfinityguild', 'nft', 'nnftgaming', 'blockchain', 'blockchaingame', 'metaversenft', 'metaversegames', 'gamefi', 'crypto']",open ai admits chatgpt risksn ndignewsupdate digcryptonews dotsinfinityguild nft nnftgaming blockchain blockchaingame metaversenft metaversegames gamefi crypto
Neutral,"['chatgpt', 'mark', 'online', 'quiz', 'easier', 'ever']",chatgpt mark online quiz easier ever
Neutral,"['bit', 'fit', 'saturday', 'morning', 'use', 'chatgpt', 'good', 'scary', 'doesnt', 'even', 'access', 'world', 'wide', 'web', 'work', 'training', 'data', 'bet', 'immense']",bit fit saturday morning use chatgpt good scary doesnt even access world wide web work training data bet immense
Neutral,"['artificial', 'intelligence', 'write', 'article', 'ai', 'self', 'awarennon', 'chatgpt', 'ethic']",artificial intelligence write article ai self awarennon chatgpt ethic
Neutral,"['openais', 'chatgpt', 'go', 'change', 'everything', 'word', 'good']",openais chatgpt go change everything word good
Neutral,"['try', 'chatgpt', 'first', 'time', 'right', 'need', 'help', 'redis', 'stuff']",try chatgpt first time right need help redis stuff
Neutral,"['yes', 'chatgpt', 'pearl', 'clutch', 'nanny']",yes chatgpt pearl clutch nanny
Neutral,"['tiktok', 'dangerous', 'place', 'bc', 'youre', 'like', 'let', 'scroll', 'minute', 'amp', 'youre', 'christopher', 'walken', 'dance', 'contemplate', 'buy', '150', 'cooky', 'order', 'pickle', 'etsy', 'amp', 'learn', 'cool', 'chatgpt', 'trick']",tiktok dangerous place bc youre like let scroll minute amp youre christopher walken dance contemplate buy 150 cooky order pickle etsy amp learn cool chatgpt trick
Neutral,"['ask', 'chatgpt', 'write', 'original', 'poem', 'resultnnchatgpt', 'openai', 'openaichat', 'openaichatgpt']",ask chatgpt write original poem resultnnchatgpt openai openaichat openaichatgpt
Neutral,"['feel', 'like', 'chatgpt', 'bout', 'cost', '100', 'month', 'trial', 'period', 'im', 'skeptible', 'accessible']",feel like chatgpt bout cost 100 month trial period im skeptible accessible
Neutral,"['chatgpt', 'sound', 'like', 'highschool', 'student', 'time']",chatgpt sound like highschool student time
Neutral,"['chatgpt', 'say', 'comic', 'would', 'funny', 'relatable', 'meteorologist']",chatgpt say comic would funny relatable meteorologist
Neutral,"['yes', 'chatgpt', 'could', 'disrupt', 'google', 'likely', 'feature', 'absorb', 'natively', 'search']",yes chatgpt could disrupt google likely feature absorb natively search
Neutral,"['entrepreneur', 'interest', 'way', 'use', 'chatgpt', 'gpt3', 'marketingsales', 'workflows', 'nnmarketing', 'entrepreneur', 'sale', 'chatgpt']",entrepreneur interest way use chatgpt gpt3 marketingsales workflows nnmarketing entrepreneur sale chatgpt
Neutral,"['would', 'eminem', 'song', 'cybersecurity', 'like', 'write', 'ai', 'chatgpt']",would eminem song cybersecurity like write ai chatgpt
Neutral,"['im', 'already', 'use', 'chatgpt', 'help', 'write', 'real', 'estate', 'caption']",im already use chatgpt help write real estate caption
Neutral,"['ask', 'hot', 'new', 'ai', 'braai', 'isnt', 'bother', 'whether', 'use', 'wood', 'charcoal', 'chatgpt', 'open', 'personal', 'preference', 'kind', 'fuel', 'use', 'braai', 'well', 'do', 'meat']",ask hot new ai braai isnt bother whether use wood charcoal chatgpt open personal preference kind fuel use braai well do meat
Neutral,"['creative', 'way', 'writer', 'use', 'chatgptnn', 'content', 'ideasn', 'headline', 'ideasn', 'write', 'whole', 'paragraphsn', 'outlinesn', 'articlesn', 'tweetsn', 'postsn', 'rewrite', 'sentencesnnthe', 'quality', 'answer', 'depend', 'quality', 'question', 'ask']",creative way writer use chatgptnn content ideasn headline ideasn write whole paragraphsn outlinesn articlesn tweetsn postsn rewrite sentencesnnthe quality answer depend quality question ask
Neutral,"['gift', 'chatgpt', 'everyone', 'retwit', 'cre', 'nna', 'lesson', 'make', 'acquisition', 'call', 'commercial', 'real', 'estate']",gift chatgpt everyone retwit cre nna lesson make acquisition call commercial real estate
Neutral,"['ok', 'apparently', 'chatgpt', 'really', 'bad', 'write', 'r', 'code', 'predatorprey', 'ode', 'ask', 'come', 'infinite', 'predator', 'growth', 'though']",ok apparently chatgpt really bad write r code predatorprey ode ask come infinite predator growth though
Neutral,"['one', 'likeable', 'thing', 'chatgpt', 'able', 'express', 'context', 'error', 'interest', 'stuff']",one likeable thing chatgpt able express context error interest stuff
Neutral,"['ai', 'like', 'chatgpt', 'change', 'everything', 'verbal', 'communication', 'look', 'example', 'nncant', 'wait', 'negotiation', 'do', 'chatgpt', 'actually', 'im', 'rent', 'office', 'rn', 'let', 'give', 'try']",ai like chatgpt change everything verbal communication look example nncant wait negotiation do chatgpt actually im rent office rn let give try
Neutral,"['chatgpt', 'like', 'hal', 'space', 'odyssey', 'wtfff']",chatgpt like hal space odyssey wtfff
Neutral,"['write', 'book', '2', 'sitting', 'help', 'chatgpt', 'gpt3', 'present', 'postnihilism', 'new', 'philosophy', '21st', 'century']",write book 2 sitting help chatgpt gpt3 present postnihilism new philosophy 21st century
Neutral,"['cat', 'hacker', 'way', 'get', 'around', 'chatgpts', 'safeguard']",cat hacker way get around chatgpts safeguard
Neutral,"['ai', 'todaynn1', 'generate', 'donald', 'trump', 'speech', 'use', 'chatgpt']",ai todaynn1 generate donald trump speech use chatgpt
Neutral,"['chatgpt', 'insanely', 'good']",chatgpt insanely good
Neutral,"['build', 'truly', 'fullstack', 'web', 'app', '9', 'min', 'react', 'node', 'wasp', 'chatgpt']",build truly fullstack web app 9 min react node wasp chatgpt
Neutral,"['7', 'way', 'brand', 'marketer', 'retailer', 'use', 'ai', 'like', 'chatgpt', 'rensa']",7 way brand marketer retailer use ai like chatgpt rensa
Neutral,"['nnalso', 'next', 'version', 'chatgpt', 'could', '1000x', 'well', 'prioritize', 'text', 'base', 'number', 'emojis', 'evoke']",nnalso next version chatgpt could 1000x well prioritize text base number emojis evoke
Neutral,"['question', 'one', 'followup', 'question', 'chatgpt', 'mistakenni', 'think', 'last', 'paragraph', 'second', 'question', 'use', 'clever', 'phrase', 'open', 'interpretation', 'reader']",question one followup question chatgpt mistakenni think last paragraph second question use clever phrase open interpretation reader
Neutral,"['chatgpt', 'make', 'next', 'week', 'meal', 'plan', 'include', 'shopping', 'list', 'recipes', 'danish', 'even', 'totally', 'tailor', 'various', 'ingredient', 'ask', 'include', 'preference', 'member', 'family', 'mindblowing', 'efficient']",chatgpt make next week meal plan include shopping list recipes danish even totally tailor various ingredient ask include preference member family mindblowing efficient
Neutral,"['chatgpt', 'stock', 'invest', 'chatgpt', 'type', 'artificial', 'intelligence', 'money', 'money', 'money', 'money', 'invest']",chatgpt stock invest chatgpt type artificial intelligence money money money money invest
Neutral,"['im', 'excite', 'chatgpt', 'dialogue', 'base', 'interface', 'machine', 'get', 'output', 'rework', 'cut', 'many', 'google', 'search', 'copypastes', 'button', 'click', 'etc', 'enormous', 'implication', 'saas']",im excite chatgpt dialogue base interface machine get output rework cut many google search copypastes button click etc enormous implication saas
Neutral,"['chatgpt', 'competitive', 'situation', 'potential', 'challenge', 'could', 'face', 'compete', 'google', 'drive', 'onedrive', 'could', 'include']",chatgpt competitive situation potential challenge could face compete google drive onedrive could include
Neutral,"['yup', 'cod', 'solution', 'chatgpt', 'dont', 'work', 'tried', 'couple', 'didnt', 'work']",yup cod solution chatgpt dont work tried couple didnt work
Neutral,"['exactly', 'use', 'chatgpt', 'thing', 'true', 'gamechanger']",exactly use chatgpt thing true gamechanger
Neutral,"['want', 'use', 'chatgpt', 'apple', 'watch', 'iphone', 'heres', 'include', 'link', 'downloadnn']",want use chatgpt apple watch iphone heres include link downloadnn
Neutral,"['imagine', 'world', 'look', 'scammer', 'leverage', 'power', 'artificial', 'intelligence', 'wildnnartificialintelligence', 'ai', 'chatgpt', 'openai']",imagine world look scammer leverage power artificial intelligence wildnnartificialintelligence ai chatgpt openai
Neutral,"['ponder', 'impact', 'technology', 'like', 'chatgpt', 'future', 'work', 'keep', 'come', 'conclusion', 'ive', 'time', 'seek', 'skill', 'next', 'year', 'product', 'project', 'management', 'data', 'sciencennhere', '16']",ponder impact technology like chatgpt future work keep come conclusion ive time seek skill next year product project management data sciencennhere 16
Neutral,"['chatgpt', 'wrap', 'top', '001', 'user']",chatgpt wrap top 001 user
Neutral,"['chatgpt', 'another', 'prediction', 'theperipheral', 'novel', 'come', 'true', 'module', 'flynne', 'get', 'speak', 'nonsense', 'daedra']",chatgpt another prediction theperipheral novel come true module flynne get speak nonsense daedra
Neutral,"['ask', 'chatgpt', 'artificial', 'intelligence', 'bot', 'think', 'chinese', 'communist', 'party', 'investment', 'tiktok', 'bytedance', 'significant', 'repliednnmy', 'question', 'ai', 'understand', 'threat', 'doesnt', 'congr']",ask chatgpt artificial intelligence bot think chinese communist party investment tiktok bytedance significant repliednnmy question ai understand threat doesnt congr
Neutral,"['copywriter', 'story', 'teller', 'freelancernnyou', 'need', 'use', 'chatgpt', 'nnhow', 'chatgpt', 'change', 'way', 'writer', 'think', 'nnthread']",copywriter story teller freelancernnyou need use chatgpt nnhow chatgpt change way writer think nnthread
Neutral,"['solve', 'real', 'issue', 'chatgpt', 'meanwhile']",solve real issue chatgpt meanwhile
Neutral,"['ok', 'chatgpt', 'magnum', 'opus']",ok chatgpt magnum opus
Neutral,"['number', 'potential', 'startup', 'idea', 'chatgpt', 'place', 'head']",number potential startup idea chatgpt place head
Neutral,"['ipv4', 'joke', 'chatgpt']",ipv4 joke chatgpt
Neutral,"['chatgpt', 'etc', 'lead', 'mass', 'employeremployee', 'disharmony', 'employer', 'come', 'expect', 'impossible', 'turnaround', 'time', 'employee', 'take', 'kindly', 'speak', 'imperative', 'tense']",chatgpt etc lead mass employeremployee disharmony employer come expect impossible turnaround time employee take kindly speak imperative tense
Neutral,"['founder', 'play', 'chatgpt', 'apparently', 'base', 'email', 'university', 'edinburgh', 'join', 'mastodon', '2025', 'since', 'proposal', 'get', 'deny', '2023nnvse', 'vsecampaign', 'mastodon', 'chatgpt', 'hoax']",founder play chatgpt apparently base email university edinburgh join mastodon 2025 since proposal get deny 2023nnvse vsecampaign mastodon chatgpt hoax
Neutral,"['chatgpt', 'artificial', 'intelligence', 'text', 'bot', 'go', 'viral', 'abc', 'news']",chatgpt artificial intelligence text bot go viral abc news
Neutral,"['business', 'use', 'case', 'prompt', 'chatgpt', 'similar', 'article', 'use', 'generative', 'ai', 'business', 'purpose', 'nice', 'work']",business use case prompt chatgpt similar article use generative ai business purpose nice work
Neutral,"['bad', 'localseo', 'chatgpt']",bad localseo chatgpt
Neutral,"['leak', 'sex', 'tape', 'mca', 'driver', 'smash', 'click', 'playn', 'n', 'n', 'nmaandamano', 'twitterfiles', 'amerix', 'break', 'news', 'kisii', 'general', 'meakins', 'messiah', 'kamiti', 'museveni', 'chatgpt', 'kelvin', 'kiptum', 'onyango', 'judiciary', 'bomas', 'machakosuniversity', 'kane', 'madam', 'president']",leak sex tape mca driver smash click playn n n nmaandamano twitterfiles amerix break news kisii general meakins messiah kamiti museveni chatgpt kelvin kiptum onyango judiciary bomas machakosuniversity kane madam president
Neutral,"['chatgpt', 'joke']",chatgpt joke
Neutral,"['last', 'year', 'copilot', 'today', 'chatgpt', 'take', 'next', 'levelnnwith', 'right', 'instruction', 'create', 'app']",last year copilot today chatgpt take next levelnnwith right instruction create app
Neutral,"['ask', 'chatgpt', 'openai', 'write', 'poem', 'computer', 'claim', 'computer', 'humanlike', 'companion', 'u']",ask chatgpt openai write poem computer claim computer humanlike companion u
Neutral,"['hackernoon', 'start', 'story', 'prompt', 'chatgpt', 'keep', 'go', 'like', 'ai', 'chatbots']",hackernoon start story prompt chatgpt keep go like ai chatbots
Neutral,"['kenyan', 'gava', 'try', 'ask', 'chatgpt', 'salvage', 'economy', 'im', 'sure', 'theyll', 'get', 'answer', 'need']",kenyan gava try ask chatgpt salvage economy im sure theyll get answer need
Neutral,"['chatgpt', 'entirely', 'convince', 'really', 'evidence', 'lot', 'people', 'arent', 'particularly', 'intelligent']",chatgpt entirely convince really evidence lot people arent particularly intelligent
Neutral,"['u', 'top', 'news', 'tue', '13', 'dec', '1829', 'utc', 'chatgpt', 'ai', 'work']",u top news tue 13 dec 1829 utc chatgpt ai work
Neutral,"['quick', 'tip', 'chatgpt', 'openai', 'playgroundnnif', 'youre', 'trouble', 'get', 'output', 'want', 'ask', 'help', 'nncould', 'reword', 'prompt', 'would', 'elicit', 'insert', 'desire', 'responsennthe', 'tip', 'give', 'want', 'something', 'specific', 'provide', 'example']",quick tip chatgpt openai playgroundnnif youre trouble get output want ask help nncould reword prompt would elicit insert desire responsennthe tip give want something specific provide example
Neutral,"['chatgpt', 'chip', 'design', 'jim', 'keller', 'tsmcs', '2022', 'open', 'innovation', 'platform', 'ecosystem', 'forum']",chatgpt chip design jim keller tsmcs 2022 open innovation platform ecosystem forum
Neutral,"['ever', 'hear', 'secret', 'formula', 'well', 'chatgpt', 'know', 'ask', 'tell', 'secret', 'formula', 'itll', 'give', 'inside', 'scoop', 'unique', 'property', 'use', 'insightsnsecrets', 'fun', 'chatbot', 'openai', 'feature']",ever hear secret formula well chatgpt know ask tell secret formula itll give inside scoop unique property use insightsnsecrets fun chatbot openai feature
Neutral,"['chatgpt', 'explain', 'good', 'note', 'app', 'respite', 'uberconnected', 'world', 'nnchatgpt', 'note', 'alphactrl', 'productivity', 'gtd', 'nn']",chatgpt explain good note app respite uberconnected world nnchatgpt note alphactrl productivity gtd nn
Neutral,"['gonna', 'rough', 'day', 'chatgpt', 'isnt', 'open', 'hop', 'make', 'pay', 'option', 'rather', 'turn']",gonna rough day chatgpt isnt open hop make pay option rather turn
Neutral,"['cfp', 'proposal', 'write', 'chatgpt', 'way', 'well', 'mine']",cfp proposal write chatgpt way well mine
Neutral,"['generative', 'pretrained', 'transformer', 'chatgpt', 'good', 'enough', 'say']",generative pretrained transformer chatgpt good enough say
Neutral,"['want', 'offensive', 'joke', 'chatgpt', 'surprise', 'chatgpt']",want offensive joke chatgpt surprise chatgpt
Neutral,"['chatgpt', 'safe', 'hand']",chatgpt safe hand
Neutral,"['memory', 'retention', 'chatgpt', 'nnone', 'thing', 'bother', 'fact', 'chatgpt', 'small', 'memory', 'limited', 'current', 'thread', 'possible', 'external', 'memory', 'gpt3', 'api', 'cant', 'chatgpt']",memory retention chatgpt nnone thing bother fact chatgpt small memory limited current thread possible external memory gpt3 api cant chatgpt
Neutral,"['im', 'gonna', 'give', 'talk', 'january', 'vue', 'i18n', 'im', 'struggle', 'title', 'description', 'chatgpt', 'rescue']",im gonna give talk january vue i18n im struggle title description chatgpt rescue
Neutral,"['chatgpt', 'reach', '1', 'million', 'user', 'clear', 'example', 'ai', 'go', 'change', 'world', 'follow', 'year']",chatgpt reach 1 million user clear example ai go change world follow year
Neutral,"['vote', 'best', 'release', 'chatgpt', 'a16z', 'sunset', 'ok', 'boomer', 'jack', 'raines', 'e1626n', 'startup', 'twist', 'jasoncalacanis']",vote best release chatgpt a16z sunset ok boomer jack raines e1626n startup twist jasoncalacanis
Neutral,"['disappointed', 'chatgpt', 'seemingly', 'crash', 'answer', 'straight', 'forward', 'creative', 'brief']",disappointed chatgpt seemingly crash answer straight forward creative brief
Neutral,"['hey', 'famnnew', 'drop', 'call', 'talk', 'chatgptnai', 'mindblowingnnonly', '1', 'tezosnn15', 'ednngrab', 'one', 'nthanks', 'supportnnlink', 'commentsncleannft', 'aiartcommunity', 'aiartists']",hey famnnew drop call talk chatgptnai mindblowingnnonly 1 tezosnn15 ednngrab one nthanks supportnnlink commentsncleannft aiartcommunity aiartists
Neutral,"['ask', 'chatgpt', 'describe', 'dystopia', 'future', 'look', 'like', 'basically', 'describe', 'present']",ask chatgpt describe dystopia future look like basically describe present
Neutral,"['hold', 'election', 'nobody', 'votednonly', '88', 'turnout', 'tunisian', 'parliamentary', 'election', 'nnis', 'sort', 'global', 'record', 'chatgpt', 'didnt', 'helpnnin', 'byelection', 'territory', 'rainy', 'day', 'liverpool', 'n']",hold election nobody votednonly 88 turnout tunisian parliamentary election nnis sort global record chatgpt didnt helpnnin byelection territory rainy day liverpool n
Neutral,"['impressed', 'chatgpt', 'far', 'hope', 'someone', 'ruin']",impressed chatgpt far hope someone ruin
Neutral,"['even', 'factually', 'wrong', 'important', 'carefully', 'plan', 'treatment', 'fry', 'nice', 'ring', 'radonc', 'chatgpt']",even factually wrong important carefully plan treatment fry nice ring radonc chatgpt
Neutral,"['chatgpt', 'ai', 'disrupts', 'industry', 'harvard', 'business', 'review', 'popular']",chatgpt ai disrupts industry harvard business review popular
Neutral,"['lawyer', 'content', 'writer', 'artist', 'even', 'consultant', 'dismissive', 'ai', 'like', 'chatgptnntheir', 'argument', 'nutshellnnthis', 'cant', 'replace', 'im', 'special', 'experiencennbring', 'disruption']",lawyer content writer artist even consultant dismissive ai like chatgptnntheir argument nutshellnnthis cant replace im special experiencennbring disruption
